## Wed Jan 24 14:51:26 2024
## emapper-2.1.12
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_0go7jflx --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_0go7jflx --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_0go7jflx/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype genome --genepred prodigal --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
Xanthobacter_chromosome_11	78245.Xaut_0279	9.06e-206	590.0	COG2199@1|root,COG3706@2|Bacteria,1P2K6@1224|Proteobacteria,2TRAJ@28211|Alphaproteobacteria,3EZD9@335928|Xanthobacteraceae	28211|Alphaproteobacteria	T	Cache domain	MA20_24860	-	-	-	-	-	-	-	-	-	-	-	GGDEF,HAMP,dCache_1
Xanthobacter_chromosome_12	1131814.JAFO01000001_gene4116	3.63e-115	335.0	COG0325@1|root,COG0325@2|Bacteria,1MWN7@1224|Proteobacteria,2TR5Z@28211|Alphaproteobacteria,3EYKM@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	Pyridoxal 5'-phosphate (PLP)-binding protein, which is involved in PLP homeostasis	MA20_24865	GO:0003674,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0008144,GO:0019842,GO:0030170,GO:0036094,GO:0043167,GO:0043168,GO:0044464,GO:0048037,GO:0050662,GO:0070279,GO:0097159,GO:1901363	-	ko:K06997	-	-	-	-	ko00000	-	-	-	Ala_racemase_N
Xanthobacter_chromosome_13	1131814.JAFO01000001_gene1398	9.21e-61	187.0	COG0309@1|root,COG0309@2|Bacteria,1RDJ4@1224|Proteobacteria,2U7HE@28211|Alphaproteobacteria,3F1NV@335928|Xanthobacteraceae	28211|Alphaproteobacteria	O	Transposase DDE domain	-	-	-	ko:K07492	-	-	-	-	ko00000	-	-	-	DDE_Tnp_1,DDE_Tnp_1_2
Xanthobacter_chromosome_14	1131814.JAFO01000001_gene1397	3.63e-86	253.0	COG3293@1|root,COG3293@2|Bacteria,1RDDI@1224|Proteobacteria,2U7E3@28211|Alphaproteobacteria,3F1N8@335928|Xanthobacteraceae	28211|Alphaproteobacteria	L	Putative transposase of IS4/5 family (DUF4096)	-	-	-	ko:K07492	-	-	-	-	ko00000	-	-	-	DUF4096
Xanthobacter_chromosome_15	78245.Xaut_4691	1.03e-176	498.0	COG1262@1|root,COG1262@2|Bacteria,1MZ25@1224|Proteobacteria,2TRJH@28211|Alphaproteobacteria,3F05E@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	Sulfatase-modifying factor enzyme 1	-	-	-	-	-	-	-	-	-	-	-	-	FGE-sulfatase
Xanthobacter_chromosome_16	78245.Xaut_4692	4.56e-258	718.0	COG3119@1|root,COG3119@2|Bacteria,1MUJH@1224|Proteobacteria,2TSB8@28211|Alphaproteobacteria,3F02Z@335928|Xanthobacteraceae	28211|Alphaproteobacteria	P	Sulfatase	-	-	-	-	-	-	-	-	-	-	-	-	Sulfatase
Xanthobacter_chromosome_17	78245.Xaut_0219	5.73e-86	254.0	COG3654@1|root,COG3654@2|Bacteria,1P2YP@1224|Proteobacteria,2UU3A@28211|Alphaproteobacteria,3F25Q@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	Fic/DOC family	-	-	-	ko:K07341	-	-	-	-	ko00000,ko02048	-	-	-	Fic
Xanthobacter_chromosome_18	78245.Xaut_0218	4.64e-42	138.0	COG2002@1|root,COG2002@2|Bacteria,1QVJI@1224|Proteobacteria,2TWG9@28211|Alphaproteobacteria	28211|Alphaproteobacteria	K	Addiction module antidote	-	-	-	-	-	-	-	-	-	-	-	-	MazE_antitoxin
Xanthobacter_chromosome_19	78245.Xaut_0217	1.87e-189	530.0	28MHU@1|root,2ZAUM@2|Bacteria,1R3RK@1224|Proteobacteria,2TTR4@28211|Alphaproteobacteria	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Xanthobacter_chromosome_22	1244869.H261_16872	8.14e-14	66.2	2DSDQ@1|root,33FP9@2|Bacteria,1NIQD@1224|Proteobacteria,2UK51@28211|Alphaproteobacteria	28211|Alphaproteobacteria	S	Helix-turn-helix domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_17
Xanthobacter_chromosome_24	1353531.AZNX01000007_gene254	5.44e-174	499.0	COG0595@1|root,COG0595@2|Bacteria,1QS7V@1224|Proteobacteria,2TUEG@28211|Alphaproteobacteria	28211|Alphaproteobacteria	S	Beta-lactamase superfamily domain	-	-	-	ko:K12574	ko03018,map03018	-	-	-	ko00000,ko00001,ko01000,ko03019	-	-	-	Lactamase_B_2
Xanthobacter_chromosome_25	224911.27349130	2.06e-75	240.0	2ETPQ@1|root,33M7D@2|Bacteria,1N20U@1224|Proteobacteria,2UCYQ@28211|Alphaproteobacteria,3K1I0@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Xanthobacter_chromosome_26	1297570.MESS4_790044	1.7e-13	69.7	2DT84@1|root,33J46@2|Bacteria,1NNE5@1224|Proteobacteria,2UKFB@28211|Alphaproteobacteria	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Xanthobacter_chromosome_28	1317124.DW2_16495	1.83e-17	84.7	COG2378@1|root,COG2378@2|Bacteria,1R674@1224|Proteobacteria,2TTWA@28211|Alphaproteobacteria	28211|Alphaproteobacteria	K	transcriptional regulator	-	-	-	-	-	-	-	-	-	-	-	-	WYL
Xanthobacter_chromosome_29	1224746.B932_1771	1.39e-20	84.7	COG1396@1|root,COG1396@2|Bacteria,1NH2S@1224|Proteobacteria,2UCNP@28211|Alphaproteobacteria	28211|Alphaproteobacteria	K	Helix-turn-helix XRE-family like proteins	-	-	-	-	-	-	-	-	-	-	-	-	HTH_3,HTH_31
Xanthobacter_chromosome_30	426117.M446_1504	1.82e-113	340.0	28ID6@1|root,2Z8FE@2|Bacteria,1MX0W@1224|Proteobacteria,2UHSX@28211|Alphaproteobacteria	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Xanthobacter_chromosome_31	1134912.AJTV01000003_gene1573	7.6e-118	353.0	COG0582@1|root,COG0582@2|Bacteria,1P8BQ@1224|Proteobacteria,2TUZ9@28211|Alphaproteobacteria,36XSD@31993|Methylocystaceae	28211|Alphaproteobacteria	L	Phage integrase family	-	-	-	-	-	-	-	-	-	-	-	-	Phage_int_SAM_3,Phage_integrase
Xanthobacter_chromosome_32	78245.Xaut_3736	6.65e-190	530.0	COG2801@1|root,COG2801@2|Bacteria,1MVN5@1224|Proteobacteria,2TQK0@28211|Alphaproteobacteria,3F1JR@335928|Xanthobacteraceae	28211|Alphaproteobacteria	L	PFAM Integrase catalytic region	-	-	-	ko:K07497	-	-	-	-	ko00000	-	-	-	HTH_21,rve,rve_3
Xanthobacter_chromosome_33	78245.Xaut_0220	6.4e-53	166.0	COG2963@1|root,COG2963@2|Bacteria,1MZ3D@1224|Proteobacteria,2UBSS@28211|Alphaproteobacteria,3F1YB@335928|Xanthobacteraceae	28211|Alphaproteobacteria	L	PFAM transposase IS3 IS911 family protein	-	-	-	ko:K07497	-	-	-	-	ko00000	-	-	-	HTH_Tnp_1
Xanthobacter_chromosome_34	414684.RC1_1283	3e-26	108.0	COG0582@1|root,COG0582@2|Bacteria,1P8BQ@1224|Proteobacteria,2TUZ9@28211|Alphaproteobacteria,2JZDI@204441|Rhodospirillales	204441|Rhodospirillales	L	Belongs to the 'phage' integrase family	-	-	-	-	-	-	-	-	-	-	-	-	Phage_integrase
Xanthobacter_chromosome_35	652103.Rpdx1_0200	6.31e-47	167.0	COG0582@1|root,COG0582@2|Bacteria,1RAN4@1224|Proteobacteria,2U47D@28211|Alphaproteobacteria,3JVG1@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	L	Belongs to the 'phage' integrase family	-	-	-	-	-	-	-	-	-	-	-	-	Phage_integrase
Xanthobacter_chromosome_36	1192868.CAIU01000001_gene115	9.72e-264	735.0	COG0028@1|root,COG0028@2|Bacteria,1MX6Q@1224|Proteobacteria,2TR5N@28211|Alphaproteobacteria,43GU2@69277|Phyllobacteriaceae	28211|Alphaproteobacteria	EH	Thiamine pyrophosphate enzyme, N-terminal TPP binding domain	ilvX	-	2.2.1.6,4.1.1.7	ko:K01576,ko:K01652	ko00290,ko00627,ko00650,ko00660,ko00770,ko01100,ko01110,ko01120,ko01130,ko01210,ko01230,map00290,map00627,map00650,map00660,map00770,map01100,map01110,map01120,map01130,map01210,map01230	M00019,M00570	R00006,R00014,R00226,R01764,R02672,R03050,R04672,R04673,R08648	RC00027,RC00106,RC00595,RC01192,RC02744,RC02893	ko00000,ko00001,ko00002,ko01000	-	-	-	TPP_enzyme_C,TPP_enzyme_M,TPP_enzyme_N
Xanthobacter_chromosome_37	1144310.PMI07_005971	1.57e-106	310.0	COG1396@1|root,COG1396@2|Bacteria,1RCYA@1224|Proteobacteria,2TU8R@28211|Alphaproteobacteria,4BCUV@82115|Rhizobiaceae	28211|Alphaproteobacteria	K	Cro/C1-type HTH DNA-binding domain	-	-	-	-	-	-	-	-	-	-	-	-	Cupin_2,HTH_3,HTH_31
Xanthobacter_chromosome_38	1144310.PMI07_005630	3.57e-78	241.0	COG1802@1|root,COG1802@2|Bacteria,1MVXM@1224|Proteobacteria,2UD7Y@28211|Alphaproteobacteria,4BG4D@82115|Rhizobiaceae	28211|Alphaproteobacteria	K	FCD	-	-	-	-	-	-	-	-	-	-	-	-	FCD,GntR
Xanthobacter_chromosome_39	1380394.JADL01000009_gene3412	1.62e-224	632.0	COG0161@1|root,COG0161@2|Bacteria,1MU2N@1224|Proteobacteria,2TQND@28211|Alphaproteobacteria,2JQ6R@204441|Rhodospirillales	204441|Rhodospirillales	H	Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family	-	-	2.6.1.76	ko:K15785	ko00260,map00260	-	R06977	RC00006,RC00062	ko00000,ko00001,ko01000	-	-	-	Aminotran_3
Xanthobacter_chromosome_40	1125973.JNLC01000012_gene1012	1.93e-251	705.0	COG0405@1|root,COG0405@2|Bacteria,1MUV6@1224|Proteobacteria,2TQWP@28211|Alphaproteobacteria,3JS58@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	E	Gamma-glutamyltranspeptidase	-	-	2.3.2.2,3.4.19.13	ko:K00681	ko00430,ko00460,ko00480,ko01100,map00430,map00460,map00480,map01100	-	R00494,R01262,R01687,R03867,R03916,R03970,R03971,R04935	RC00064,RC00090,RC00096	ko00000,ko00001,ko01000,ko01002	-	-	-	G_glu_transpept
Xanthobacter_chromosome_41	1144312.PMI09_04223	4.07e-85	259.0	COG1802@1|root,COG1802@2|Bacteria,1R8F8@1224|Proteobacteria,2U4DD@28211|Alphaproteobacteria,4BD47@82115|Rhizobiaceae	28211|Alphaproteobacteria	K	FCD	-	-	-	-	-	-	-	-	-	-	-	-	FCD,GntR
Xanthobacter_chromosome_42	1380394.JADL01000001_gene2554	3.3e-96	296.0	COG0715@1|root,COG0715@2|Bacteria,1R9FK@1224|Proteobacteria,2U2KX@28211|Alphaproteobacteria	28211|Alphaproteobacteria	P	NMT1/THI5 like	-	-	-	ko:K02051	-	M00188	-	-	ko00000,ko00002,ko02000	3.A.1.16,3.A.1.17	-	-	NMT1
Xanthobacter_chromosome_43	288000.BBta_7629	1.79e-92	281.0	COG0600@1|root,COG0600@2|Bacteria,1MVAE@1224|Proteobacteria,2TSAS@28211|Alphaproteobacteria,3K64T@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	P	Binding-protein-dependent transport system inner membrane component	-	-	-	ko:K02050	-	M00188	-	-	ko00000,ko00002,ko02000	3.A.1.16,3.A.1.17	-	-	BPD_transp_1
Xanthobacter_chromosome_44	1380394.JADL01000001_gene2547	2.9e-101	301.0	COG1116@1|root,COG1116@2|Bacteria,1MUIM@1224|Proteobacteria,2TRHM@28211|Alphaproteobacteria,2JW7Z@204441|Rhodospirillales	204441|Rhodospirillales	P	ATPases associated with a variety of cellular activities	-	-	-	-	-	-	-	-	-	-	-	-	ABC_tran
Xanthobacter_chromosome_45	1131814.JAFO01000001_gene3309	3.94e-85	250.0	COG3293@1|root,COG3293@2|Bacteria,1RM2E@1224|Proteobacteria,2U8WG@28211|Alphaproteobacteria	28211|Alphaproteobacteria	L	Putative transposase of IS4/5 family (DUF4096)	-	-	-	ko:K07492	-	-	-	-	ko00000	-	-	-	DUF4096
Xanthobacter_chromosome_46	1131814.JAFO01000001_gene3353	1.9e-79	237.0	COG3293@1|root,COG3293@2|Bacteria,1P5HD@1224|Proteobacteria,2TUQI@28211|Alphaproteobacteria,3F1H8@335928|Xanthobacteraceae	28211|Alphaproteobacteria	L	Transposase DDE domain	-	-	-	ko:K07492	-	-	-	-	ko00000	-	-	-	DDE_Tnp_1,DDE_Tnp_1_2,DUF4096
Xanthobacter_chromosome_47	492774.JQMB01000014_gene1447	2.83e-37	137.0	COG0491@1|root,COG0491@2|Bacteria,1PKW8@1224|Proteobacteria,2TUW8@28211|Alphaproteobacteria,4B70X@82115|Rhizobiaceae	28211|Alphaproteobacteria	S	Metallo-beta-lactamase superfamily	-	-	-	-	-	-	-	-	-	-	-	-	Lactamase_B
Xanthobacter_chromosome_49	1454004.AW11_02703	8.66e-287	793.0	COG5361@1|root,COG5361@2|Bacteria,1NX2A@1224|Proteobacteria,2VPY3@28216|Betaproteobacteria	28216|Betaproteobacteria	S	Protein of unknown function (DUF1254)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1214,DUF1254
Xanthobacter_chromosome_50	314260.PB2503_13419	3.68e-60	204.0	COG0240@1|root,COG0240@2|Bacteria,1MUU3@1224|Proteobacteria	1224|Proteobacteria	I	Glycerol-3-phosphate dehydrogenase	gpsA	GO:0003674,GO:0003824,GO:0006072,GO:0006629,GO:0006644,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008610,GO:0008654,GO:0009058,GO:0009987,GO:0016491,GO:0016614,GO:0016616,GO:0019637,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0047952,GO:0052646,GO:0055114,GO:0071704,GO:0090407,GO:1901135,GO:1901576	1.1.1.94	ko:K00057	ko00564,ko01110,map00564,map01110	-	R00842,R00844	RC00029	ko00000,ko00001,ko01000	-	-	-	NAD_Gly3P_dh_C,NAD_Gly3P_dh_N
Xanthobacter_chromosome_51	1207063.P24_10820	2.53e-113	332.0	COG0561@1|root,COG0561@2|Bacteria,1QVHU@1224|Proteobacteria,2VFCY@28211|Alphaproteobacteria	28211|Alphaproteobacteria	S	hydrolases of the HAD superfamily	-	-	-	-	-	-	-	-	-	-	-	-	S6PP
Xanthobacter_chromosome_52	1207063.P24_10815	7.21e-223	630.0	COG0380@1|root,COG0380@2|Bacteria,1MUIY@1224|Proteobacteria,2TQMP@28211|Alphaproteobacteria,2JPVA@204441|Rhodospirillales	204441|Rhodospirillales	G	Probably involved in the osmoprotection via the biosynthesis of trehalose. Catalyzes the transfer of glucose from UDP-glucose (UDP-Glc) to D-glucose 6-phosphate (Glc-6-P) to form trehalose-6-phosphate. Acts with retention of the anomeric configuration of the UDP-sugar donor	otsA	-	2.4.1.15,2.4.1.347	ko:K00697	ko00500,ko01100,map00500,map01100	-	R02737	RC00005,RC00049,RC02748	ko00000,ko00001,ko01000,ko01003	-	GT20	-	Glyco_transf_20
Xanthobacter_chromosome_53	1207063.P24_10810	1.91e-166	481.0	COG1653@1|root,COG1653@2|Bacteria,1MX9J@1224|Proteobacteria,2U36T@28211|Alphaproteobacteria,2JQXS@204441|Rhodospirillales	204441|Rhodospirillales	G	Bacterial extracellular solute-binding protein	-	-	-	ko:K02027,ko:K10236	ko02010,map02010	M00204,M00207	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.1,3.A.1.1.17	-	-	SBP_bac_1,SBP_bac_8
Xanthobacter_chromosome_54	1207063.P24_10805	5.72e-136	394.0	COG1175@1|root,COG1175@2|Bacteria,1MWB7@1224|Proteobacteria,2TSH3@28211|Alphaproteobacteria,2JPT7@204441|Rhodospirillales	204441|Rhodospirillales	P	Binding-protein-dependent transport system inner membrane component	-	-	-	ko:K02025,ko:K10237	ko02010,map02010	M00204,M00207	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.1,3.A.1.1.17	-	-	BPD_transp_1
Xanthobacter_chromosome_55	1207063.P24_10800	1.78e-129	375.0	COG0395@1|root,COG0395@2|Bacteria,1N4I0@1224|Proteobacteria,2TT14@28211|Alphaproteobacteria,2JR2J@204441|Rhodospirillales	204441|Rhodospirillales	G	transport system permease	-	-	-	ko:K02026,ko:K05815,ko:K10238	ko02010,map02010	M00198,M00204,M00207	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.1,3.A.1.1.17,3.A.1.1.3	-	-	BPD_transp_1
Xanthobacter_chromosome_56	1207063.P24_10795	3.2e-142	413.0	COG3842@1|root,COG3842@2|Bacteria,1MU3I@1224|Proteobacteria,2TQQJ@28211|Alphaproteobacteria,2JQRA@204441|Rhodospirillales	204441|Rhodospirillales	E	Part of the ABC transporter complex UgpABCE involved in sn-glycerol-3-phosphate import. Responsible for energy coupling to the transport system	-	-	-	ko:K10111	ko02010,map02010	M00194,M00200,M00204,M00207,M00491	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.1	-	-	ABC_tran,TOBE_2
Xanthobacter_chromosome_57	384765.SIAM614_06843	5.44e-312	859.0	COG3119@1|root,COG3119@2|Bacteria,1MV4J@1224|Proteobacteria,2TT2I@28211|Alphaproteobacteria	28211|Alphaproteobacteria	P	PFAM Sulfatase	-	-	3.1.6.1	ko:K01130	ko00140,ko00600,map00140,map00600	-	R03980,R04856	RC00128,RC00231	ko00000,ko00001,ko01000	-	-	-	Sulfatase,Sulfatase_C
Xanthobacter_chromosome_58	78245.Xaut_2937	1.33e-101	309.0	COG2207@1|root,COG2207@2|Bacteria	2|Bacteria	K	Transcriptional regulator	VVA1249	-	-	-	-	-	-	-	-	-	-	-	Arabinose_bd,HTH_18
Xanthobacter_chromosome_59	78245.Xaut_2620	4.69e-94	276.0	COG1513@1|root,COG1513@2|Bacteria,1R9X0@1224|Proteobacteria,2TQYR@28211|Alphaproteobacteria,3F0WP@335928|Xanthobacteraceae	28211|Alphaproteobacteria	P	Catalyzes the reaction of cyanate with bicarbonate to produce ammonia and carbon dioxide	cynS	-	4.2.1.104	ko:K01725	ko00910,map00910	-	R03546,R10079	RC00952	ko00000,ko00001,ko01000	-	-	-	Cyanate_lyase
Xanthobacter_chromosome_60	1131814.JAFO01000001_gene823	1.16e-181	510.0	COG1116@1|root,COG1116@2|Bacteria,1MUDV@1224|Proteobacteria,2TUIC@28211|Alphaproteobacteria,3F0ZC@335928|Xanthobacteraceae	28211|Alphaproteobacteria	P	ATPases associated with a variety of cellular activities	cmpD	-	-	ko:K02049,ko:K15578	ko00910,ko02010,map00910,map02010	M00188,M00438	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.16,3.A.1.16.1,3.A.1.17	-	-	ABC_tran
Xanthobacter_chromosome_61	78245.Xaut_2618	1.52e-178	499.0	COG0600@1|root,COG0600@2|Bacteria,1MU6Q@1224|Proteobacteria,2TQT6@28211|Alphaproteobacteria,3F11B@335928|Xanthobacteraceae	28211|Alphaproteobacteria	P	Binding-protein-dependent transport system inner membrane component	nrtB	-	-	ko:K02050,ko:K15577	ko00910,ko02010,map00910,map02010	M00188,M00438	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.16,3.A.1.16.1,3.A.1.16.2,3.A.1.17	-	-	BPD_transp_1
Xanthobacter_chromosome_62	1131814.JAFO01000001_gene821	1.65e-288	792.0	COG0715@1|root,COG0715@2|Bacteria,1MWDN@1224|Proteobacteria,2TS0X@28211|Alphaproteobacteria,3F19W@335928|Xanthobacteraceae	28211|Alphaproteobacteria	P	NMT1-like family	nrtA	-	-	ko:K15576	ko00910,ko02010,map00910,map02010	M00438	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.16.1,3.A.1.16.2	-	-	NMT1_2
