"","uniprot","Protein","n_peptides","condition","substrate","growthrate","R1","R2","R3","R4","mean_intensity","median_intensity","sd_intensity","IQR","MAD","CV","mean_mass_fraction","median_mass_fraction","sd_massfraction","rel_intensity","log2_fold_change","fold_change_mean","log2_fold_change_mean","anova","protein_name","protein","length","locus_tag","EC_number","gene_ontology_IDs","System","Process","Pathway","COG","COG_ID","COG_System","COG_Process","eggNOG_name","eggNOG_description","new_locus_tag","product_accession","seq_type","start","end","feature_interval_length","strand","Psortb_localization","Psortb_score","Process.abbr","Pathway.abbr","CI","mean_mass_fraction_norm","MolWeight","mass_g_per_gDCW","mol_fraction","conc_g_per_L_cell_vol","conc_mol_per_cell","conc_mol_per_L_cell_vol","conc_copies_per_cell","substrate_uptake_rate"
"11","Q0K781","Q0K781_CUPNH",5,"NLIM 0.05","ammonium",0.05,61362900,1160043817,290275700,17463330,382286436.75,175819300,532121644.573078,457329721.75,136406185,1.39194487017876,3.34412343028768e-05,1.63310902471968e-05,2.2731977294012e-05,0.175424400728126,-2.51107866089563,0.228978780664458,-2.12671418411344,0.189608375400327,"30S ribosomal protein S20","rpsT H16_A3065",88,"H16_A3065",NA,"GO:0003735; GO:0005840; GO:0006412; GO:0019843","Genetic Information Processing","Genetic information processing","Ribosome","COG0268","J","Information storage and processing","Translation, ribosomal structure and biogenesis","rpsT","Binds directly to 16S ribosomal RNA","H16_RS15285","WP_010815010.1","chromosome 1",3316805,3317071,267,"-","Cytoplasmic",9.26,"Genetic information ","Ribosome",2.2148949046295,3.34412343028768e-05,9.418,2.27400393259562e-05,0.000107766517720873,1.01066841448694e-08,9.65811821021713e-21,1.07312317245544e-06,5816.25483044587,0.190689848569826
"12","Q0K781","Q0K781_CUPNH",5,"NLIM 0.1","ammonium",0.1,42869000,135215008,270532400,2000396722,612253282.5,202873704,930139657.373996,590869974.5,113831700,1.51920730188,4.72772035654815e-05,1.68851957830938e-05,2.56521127273495e-05,0.202418039132764,-2.30459022873015,0.264213163007713,-1.92022575194796,0.189608375400327,"30S ribosomal protein S20","rpsT H16_A3065",88,"H16_A3065",NA,"GO:0003735; GO:0005840; GO:0006412; GO:0019843","Genetic Information Processing","Genetic information processing","Ribosome","COG0268","J","Information storage and processing","Translation, ribosomal structure and biogenesis","rpsT","Binds directly to 16S ribosomal RNA","H16_RS15285","WP_010815010.1","chromosome 1",3316805,3317071,267,"-","Cytoplasmic",9.26,"Genetic information ","Ribosome",2.41739783241401,4.72772035654815e-05,9.418,3.21484984245274e-05,0.00014833708252755,1.42882215220122e-08,1.36540660116914e-20,1.51711692862504e-06,8222.67088341441,0.773976444195177
"13","Q0K781","Q0K781_CUPNH",5,"NLIM 0.15","ammonium",0.15,3657425447,7982490,5542060,1987352016,1414575503.25,997667253,1762793989.93549,2397497991.25,990904978,1.24616465214155,0.000120872294834924,8.85072613079592e-05,0.000110294620499834,0.995426440576207,-0.00661338641215869,1.29931487101131,0.377751090370033,0.189608375400327,"30S ribosomal protein S20","rpsT H16_A3065",88,"H16_A3065",NA,"GO:0003735; GO:0005840; GO:0006412; GO:0019843","Genetic Information Processing","Genetic information processing","Ribosome","COG0268","J","Information storage and processing","Translation, ribosomal structure and biogenesis","rpsT","Binds directly to 16S ribosomal RNA","H16_RS15285","WP_010815010.1","chromosome 1",3316805,3317071,267,"-","Cytoplasmic",9.26,"Genetic information ","Ribosome",1.98292604649152,0.000120872294834924,9.418,8.21931604877484e-05,0.000392567888135219,3.65302935501104e-08,3.49089660173066e-20,3.87877012314895e-06,21022.6710633173,1.35726303982053
"14","Q0K781","Q0K781_CUPNH",5,"NLIM 0.2","ammonium",0.2,5090304896,2873778048,47409400,36307270,2011949903.5,1460593724,2448237489.54881,3383275892.5,1418735389,1.21684813587547,0.000160012959832158,0.000125333767025026,0.000152512160766654,1.45731315469895,0.543310924201768,1.90220851731112,0.92767540098396,0.189608375400327,"30S ribosomal protein S20","rpsT H16_A3065",88,"H16_A3065",NA,"GO:0003735; GO:0005840; GO:0006412; GO:0019843","Genetic Information Processing","Genetic information processing","Ribosome","COG0268","J","Information storage and processing","Translation, ribosomal structure and biogenesis","rpsT","Binds directly to 16S ribosomal RNA","H16_RS15285","WP_010815010.1","chromosome 1",3316805,3317071,267,"-","Cytoplasmic",9.26,"Genetic information ","Ribosome",1.93627692705413,0.000160012959832158,9.418,0.000108808812685867,0.00052349179460443,4.835947230483e-08,4.6213129193403e-20,5.1347869978082e-06,27830.1973584051,1.94054963544588
"15","Q0K781","Q0K781_CUPNH",5,"NLIM 0.25","ammonium",0.25,48414830,1566053172,438449044,3010699237,1265904070.75,1002251108,1329330850.18822,1586274197.75,758819171,1.05010393828708,0.000101252960649524,8.5263877602552e-05,8.95359336640673e-05,1,0,1.3052846680054,0.384364476782192,0.189608375400327,"30S ribosomal protein S20","rpsT H16_A3065",88,"H16_A3065",NA,"GO:0003735; GO:0005840; GO:0006412; GO:0019843","Genetic Information Processing","Genetic information processing","Ribosome","COG0268","J","Information storage and processing","Translation, ribosomal structure and biogenesis","rpsT","Binds directly to 16S ribosomal RNA","H16_RS15285","WP_010815010.1","chromosome 1",3316805,3317071,267,"-","Cytoplasmic",9.26,"Genetic information ","Ribosome",1.67094969928279,0.000101252960649524,9.418,6.88520132416764e-05,0.000328754925336935,3.06008947740784e-08,2.92427323175521e-20,3.24918923053553e-06,17610.3853147573,2.52383623107123
"16","Q0K781","Q0K781_CUPNH",5,"SUC 0.05","succinate",0.05,23095500,49739350,35072633,80769191,47169168.5,42405991.5,24909402.7166055,25418460.5,13321925,0.528086534249708,5.07522121130875e-06,4.78935686476776e-06,2.52919486800025e-06,0.159983851685682,-2.64400180395421,0.319525893072187,-1.64599524886935,0.288937534213742,"30S ribosomal protein S20","rpsT H16_A3065",88,"H16_A3065",NA,"GO:0003735; GO:0005840; GO:0006412; GO:0019843","Genetic Information Processing","Genetic information processing","Ribosome","COG0268","J","Information storage and processing","Translation, ribosomal structure and biogenesis","rpsT","Binds directly to 16S ribosomal RNA","H16_RS15285","WP_010815010.1","chromosome 1",3316805,3317071,267,"-","Cytoplasmic",9.26,"Genetic information ","Ribosome",0.840303519896531,5.07522121130875e-06,9.418,3.45115042368995e-06,1.59662477436546e-05,1.53384463275109e-09,1.46576785886173e-21,1.62862932565986e-07,882.706051412596,1.00177830468287
"17","Q0K781","Q0K781_CUPNH",5,"SUC 0.1","succinate",0.1,125452595,203823900,97554202,1158409623.60156,396310080.150391,164638247.5,510054080.684515,323992334.150391,53134849,1.28700758883287,4.28854794292896e-05,1.84988741039968e-05,2.38081913567078e-05,0.621125931457835,-0.687042294604483,1.24053656583592,0.310964260480377,0.288937534213742,"30S ribosomal protein S20","rpsT H16_A3065",88,"H16_A3065",NA,"GO:0003735; GO:0005840; GO:0006412; GO:0019843","Genetic Information Processing","Genetic information processing","Ribosome","COG0268","J","Information storage and processing","Translation, ribosomal structure and biogenesis","rpsT","Binds directly to 16S ribosomal RNA","H16_RS15285","WP_010815010.1","chromosome 1",3316805,3317071,267,"-","Cytoplasmic",9.26,"Genetic information ","Ribosome",2.04791627297663,4.28854794292896e-05,9.418,2.91621260119169e-05,0.000138389613351596,1.29609448941853e-08,1.23856980301197e-20,1.37618729382464e-06,7458.84181868056,1.9273435515285
"18","Q0K781","Q0K781_CUPNH",5,"SUC 0.15","succinate",0.15,122043602,45770900,77379000,828871354,268516214,99711301,374878210.656547,229273565,38136351,1.39611014572307,2.78658868374253e-05,1.07071861383714e-05,1.49484111999257e-05,0.37617792737072,-1.41051289516774,0.751317004376955,-0.412506340082876,0.288937534213742,"30S ribosomal protein S20","rpsT H16_A3065",88,"H16_A3065",NA,"GO:0003735; GO:0005840; GO:0006412; GO:0019843","Genetic Information Processing","Genetic information processing","Ribosome","COG0268","J","Information storage and processing","Translation, ribosomal structure and biogenesis","rpsT","Binds directly to 16S ribosomal RNA","H16_RS15285","WP_010815010.1","chromosome 1",3316805,3317071,267,"-","Cytoplasmic",9.26,"Genetic information ","Ribosome",2.22152278751274,2.78658868374253e-05,9.418,1.89488030494492e-05,9.1441420883554e-05,8.42169024419964e-09,8.0479095559351e-21,8.94211278669505e-07,4846.56449743812,2.85290879837412
"19","Q0K781","Q0K781_CUPNH",5,"SUC 0.2","succinate",0.2,115571946,50890710,67942100,204781205,109796490.25,91757023,68985826.6972757,74195008.25,32340618,0.628306301414545,1.07256579814849e-05,9.21417905533617e-06,5.78932676282964e-06,0.346169053935496,-1.53045133531657,0.691382129803997,-0.532444780231707,0.288937534213742,"30S ribosomal protein S20","rpsT H16_A3065",88,"H16_A3065",NA,"GO:0003735; GO:0005840; GO:0006412; GO:0019843","Genetic Information Processing","Genetic information processing","Ribosome","COG0268","J","Information storage and processing","Translation, ribosomal structure and biogenesis","rpsT","Binds directly to 16S ribosomal RNA","H16_RS15285","WP_010815010.1","chromosome 1",3316805,3317071,267,"-","Cytoplasmic",9.26,"Genetic information ","Ribosome",0.999775533761596,1.07256579814849e-05,9.418,7.29344742740971e-06,3.59560601742033e-05,3.24153218995987e-09,3.09766295494148e-21,3.44184428586502e-07,1865.45626514614,3.77847404521975
"20","Q0K781","Q0K781_CUPNH",5,"SUC 0.25","succinate",0.25,431395398,51360780,98733000,1708250442,572434905,265064199,775860987.370492,663719214,190017309,1.35536980815398,5.47755687699612e-05,2.62547146726354e-05,3.55848475889874e-05,1,0,1.99723840691094,0.998006555084861,0.288937534213742,"30S ribosomal protein S20","rpsT H16_A3065",88,"H16_A3065",NA,"GO:0003735; GO:0005840; GO:0006412; GO:0019843","Genetic Information Processing","Genetic information processing","Ribosome","COG0268","J","Information storage and processing","Translation, ribosomal structure and biogenesis","rpsT","Binds directly to 16S ribosomal RNA","H16_RS15285","WP_010815010.1","chromosome 1",3316805,3317071,267,"-","Cytoplasmic",9.26,"Genetic information ","Ribosome",2.15669581912636,5.47755687699612e-05,9.418,3.72473867635736e-05,0.00018534301994821,1.65543941171438e-08,1.58196588505303e-20,1.75773811454127e-06,9526.82139550392,4.70403929206537
"21","Q0K864","Q0K864_CUPNH",2,"FA 0.05","formate",0.05,207988650,66659030,17785510,13738230,76542855,42222270,90870848.8875875,85217745,26460400,1.18718917510442,4.53499170398573e-06,2.58286463208897e-06,3.0663489319761e-06,2.89685003363582,1.53448499999318,1.00529084076615,0.00761294799992075,0.960593786662121,"30S ribosomal protein S21","rpsU rpsU2 H16_A2728",70,"H16_A2728",NA,"GO:0003735; GO:0005840; GO:0006412","Genetic Information Processing","Genetic information processing","Ribosome","COG0828","J","Information storage and processing","Translation, ribosomal structure and biogenesis","rpsU","Belongs to the bacterial ribosomal protein bS21 family","H16_RS13600","WP_010813637.1","chromosome 1",2946765,2946977,213,"-","Cytoplasmic",9.26,"Genetic information ","Ribosome",1.88908290199194,4.53499170398573e-06,8.577,3.0837943587103e-06,1.53563177425109e-05,1.37057527053791e-09,1.43816922406916e-21,1.59796420655548e-07,866.085764786138,14.4481859656746
"22","Q0K864","Q0K864_CUPNH",2,"FA 0.1","formate",0.1,39003600,32572000,82274434,46819630,50167416,42911615,22183310.0013579,18287631,7123815,0.442185621068422,3.19698280921576e-06,2.88886406920098e-06,1.27741415262188e-06,2.94414566900637,1.55784905412387,1.02170379569794,0.0309770021306074,0.960593786662121,"30S ribosomal protein S21","rpsU rpsU2 H16_A2728",70,"H16_A2728",NA,"GO:0003735; GO:0005840; GO:0006412","Genetic Information Processing","Genetic information processing","Ribosome","COG0828","J","Information storage and processing","Translation, ribosomal structure and biogenesis","rpsU","Belongs to the bacterial ribosomal protein bS21 family","H16_RS13600","WP_010813637.1","chromosome 1",2946765,2946977,213,"-","Cytoplasmic",9.26,"Genetic information ","Ribosome",0.70361599800939,3.19698280921576e-06,8.577,2.17394831026671e-06,1.13065893965274e-05,9.66199249007428e-10,1.01385020882207e-21,1.12649910552429e-07,610.554876846689,26.5935259613296
"23","Q0K864","Q0K864_CUPNH",2,"FA 0.15","formate",0.15,36790900,11627030,22122970,11340200,20470275,16875000,11981311.1801853,14234630,5391385,0.585302893106483,1.27572372316046e-06,1.06541748170499e-06,6.23591934408154e-07,1.15778579213303,0.211368357632967,0.401785193878225,-1.3155036943603,0.960593786662121,"30S ribosomal protein S21","rpsU rpsU2 H16_A2728",70,"H16_A2728",NA,"GO:0003735; GO:0005840; GO:0006412","Genetic Information Processing","Genetic information processing","Ribosome","COG0828","J","Information storage and processing","Translation, ribosomal structure and biogenesis","rpsU","Belongs to the bacterial ribosomal protein bS21 family","H16_RS13600","WP_010813637.1","chromosome 1",2946765,2946977,213,"-","Cytoplasmic",9.26,"Genetic information ","Ribosome",0.931347514819295,1.27572372316046e-06,8.577,8.6749213174911e-07,4.62971797703913e-06,3.8555205855516e-10,4.04566693132382e-22,4.49518098406321e-08,243.63576133076,38.7388659569846
"24","Q0K864","Q0K864_CUPNH",2,"FA 0.2","formate",0.2,149816410,71227704,36594300,115604600,93310753.5,93416152,49646490.2455305,61588199.5,39294353,0.532055399654773,5.94542372559924e-06,6.28997389986018e-06,3.3466145771082e-06,6.40923813578306,2.68015287430859,2.2241912143809,1.15328082231532,0.960593786662121,"30S ribosomal protein S21","rpsU rpsU2 H16_A2728",70,"H16_A2728",NA,"GO:0003735; GO:0005840; GO:0006412","Genetic Information Processing","Genetic information processing","Ribosome","COG0828","J","Information storage and processing","Translation, ribosomal structure and biogenesis","rpsU","Belongs to the bacterial ribosomal protein bS21 family","H16_RS13600","WP_010813637.1","chromosome 1",2946765,2946977,213,"-","Cytoplasmic",9.26,"Genetic information ","Ribosome",0.846618870418789,5.94542372559924e-06,8.577,4.04288813340748e-06,2.18290796990343e-05,1.79683917040333e-09,1.88545558279468e-21,2.09494855259899e-07,1135.44791048629,50.8842059526396
"25","Q0K864","Q0K864_CUPNH",2,"FA 0.25","formate",0.25,190198192,18388200,10401860,10762270,57437630.5,14575235,88583628.4658048,50668530.5,3993170,1.54225770970487,3.48657288272366e-06,9.1051236163521e-07,1.4042447095135e-06,1,0,0.347028955276782,-1.52687205199326,0.960593786662121,"30S ribosomal protein S21","rpsU rpsU2 H16_A2728",70,"H16_A2728",NA,"GO:0003735; GO:0005840; GO:0006412","Genetic Information Processing","Genetic information processing","Ribosome","COG0828","J","Information storage and processing","Translation, ribosomal structure and biogenesis","rpsU","Belongs to the bacterial ribosomal protein bS21 family","H16_RS13600","WP_010813637.1","chromosome 1",2946765,2946977,213,"-","Cytoplasmic",9.26,"Genetic information ","Ribosome",2.4540761750228,3.48657288272366e-06,8.577,2.37086956025209e-06,1.27946364015619e-05,1.05371980455648e-09,1.1056870981705e-21,1.22853999164822e-07,665.860345226738,63.0295459482946
"26","Q0K864","Q0K864_CUPNH",2,"FRC 0.05","fructose",0.05,296965700,219612752,32114130,149343900,174509120.5,184478326,112456766.625574,118914531.5,73810900,0.644417703231584,1.39288520887531e-05,1.51044324284307e-05,9.73356365414599e-06,3.58196236466649,1.84075017914569,2.27369732501224,1.18504021519445,0.178101885316849,"30S ribosomal protein S21","rpsU rpsU2 H16_A2728",70,"H16_A2728",NA,"GO:0003735; GO:0005840; GO:0006412","Genetic Information Processing","Genetic information processing","Ribosome","COG0828","J","Information storage and processing","Translation, ribosomal structure and biogenesis","rpsU","Belongs to the bacterial ribosomal protein bS21 family","H16_RS13600","WP_010813637.1","chromosome 1",2946765,2946977,213,"-","Cytoplasmic",9.26,"Genetic information ","Ribosome",1.02541236935438,1.39288520887531e-05,8.577,9.47161942035209e-06,4.72051920473785e-05,4.20960863126759e-09,4.41721787121468e-21,4.90801494888535e-07,2660.11082297642,0.54063055062167
"27","Q0K864","Q0K864_CUPNH",2,"FRC 0.1","fructose",0.1,214066600,NA,5569430,18249190,79295073.3333333,18249190,116887627.140183,104248585,12679760,1.47408435639906,7.35804501618378e-06,1.70458782439211e-06,2.51270624604472e-06,0.354339250485437,-1.49679681191972,0.224921460348898,-2.15250677587096,0.178101885316849,"30S ribosomal protein S21","rpsU rpsU2 H16_A2728",70,"H16_A2728",NA,"GO:0003735; GO:0005840; GO:0006412","Genetic Information Processing","Genetic information processing","Ribosome","COG0828","J","Information storage and processing","Translation, ribosomal structure and biogenesis","rpsU","Belongs to the bacterial ribosomal protein bS21 family","H16_RS13600","WP_010813637.1","chromosome 1",2946765,2946977,213,"-","Cytoplasmic",9.26,"Genetic information ","Ribosome",NA,7.35804501618378e-06,8.577,5.00347061100497e-06,2.60390396793479e-05,2.22376471600221e-09,2.33343621826045e-21,2.59270431647137e-07,1405.22815941901,1.15896980461812
"28","Q0K864","Q0K864_CUPNH",2,"FRC 0.15","fructose",0.15,30174040,167457608,23868550,75112100,74153074.5,52643070,66255426.3974043,69600809.5,25621775,0.893495338448904,6.7880971829636e-06,4.99112831416935e-06,4.45954988231065e-06,1.02215528289488,0.0316143830121614,0.648826396220832,-0.624095580939077,0.178101885316849,"30S ribosomal protein S21","rpsU rpsU2 H16_A2728",70,"H16_A2728",NA,"GO:0003735; GO:0005840; GO:0006412","Genetic Information Processing","Genetic information processing","Ribosome","COG0828","J","Information storage and processing","Translation, ribosomal structure and biogenesis","rpsU","Belongs to the bacterial ribosomal protein bS21 family","H16_RS13600","WP_010813637.1","chromosome 1",2946765,2946977,213,"-","Cytoplasmic",9.26,"Genetic information ","Ribosome",1.42175046931746,6.7880971829636e-06,8.577,4.61590608441525e-06,2.43321233423951e-05,2.05151381529567e-09,2.15269025739314e-21,2.3918756718921e-07,1296.38039579712,1.77730905861456
