Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	17595	19064	+	AAFOLC_00085		Arylsulfatase A	SO:0001217, UniRef:UniRef50_A0A0T6YP90, UniRef:UniRef90_A0A1G4T0M6
contig_1	cds	19340	19762	-	AAFOLC_00090	doc	Prophage maintenance system killer protein	COG:COG3654, COG:X, KEGG:K07341, SO:0001217, UniRef:UniRef50_A7IBT5, UniRef:UniRef90_A7IBT5
contig_1	cds	19774	19998	-	AAFOLC_00095		Putative addiction module antidote	SO:0001217, UniRef:UniRef50_E6PGS7, UniRef:UniRef90_A7IBT4
contig_1	cds	20105	20959	-	AAFOLC_00100		DUF1837 domain-containing protein	SO:0001217, UniRef:UniRef50_A7IBT3, UniRef:UniRef90_A7IBT3
contig_1	cds	21266	22120	+	AAFOLC_00105		hypothetical protein	
contig_1	cds	22232	22519	-	AAFOLC_00110		hypothetical protein	
contig_1	cds	23274	23465	-	AAFOLC_00115		DNA-binding protein	SO:0001217, UniRef:UniRef50_UPI001E340D46
contig_1	cds	23690	24004	+	AAFOLC_00120		hypothetical protein	
contig_1	cds	24123	25367	+	AAFOLC_00125		MBL fold metallo-hydrolase	SO:0001217, UniRef:UniRef50_A0A840NA22, UniRef:UniRef90_UPI001E5BCD7C
contig_1	cds	25368	26261	+	AAFOLC_00130		hypothetical protein	
contig_1	cds	26518	26961	-	AAFOLC_00135		hypothetical protein	
contig_1	cds	26979	27428	-	AAFOLC_00140		hypothetical protein	
contig_1	cds	27486	28463	-	AAFOLC_00145		WYL domain-containing protein	SO:0001217, UniRef:UniRef50_UPI001F30A4DC
contig_1	cds	28616	28876	+	AAFOLC_00150		XRE family transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A4V2JE17
contig_1	cds	28908	29936	-	AAFOLC_00155		HTH cro/C1-type domain-containing protein	SO:0001217, UniRef:UniRef50_A0A017HJU4
contig_1	cds	30119	31054	-	AAFOLC_00160		Site-specific integrase	SO:0001217, UniRef:UniRef50_A0A426QMF7
contig_1	cds	31086	32015	-	AAFOLC_00165		IS3 family transposase	SO:0001217, UniRef:UniRef50_A0A8F7ZGV0, UniRef:UniRef90_A7ILR9
contig_1	cds	32009	32275	-	AAFOLC_00170	tnp	IS3 family transposase ORF A	SO:0001217, UniRef:UniRef50_P17985, UniRef:UniRef90_A0A1G4UTN6
contig_1	cds	32337	32696	-	AAFOLC_00175		hypothetical protein	
contig_1	cds	32961	33380	+	AAFOLC_00180		hypothetical protein	PFAM:PF20172.1
contig_1	cds	33744	35297	-	AAFOLC_00185		Putative acetolactate synthase large subunit	SO:0001217, UniRef:UniRef50_Q6N9D1
contig_1	cds	35552	36136	-	AAFOLC_00190		PuuR_1 protein	SO:0001217, UniRef:UniRef50_A0A0D1EJF6
contig_1	cds	36245	36940	-	AAFOLC_00195	mcbR	HTH-type transcriptional regulator McbR	SO:0001217, UniRef:UniRef50_A0A221K792
contig_1	cds	37258	38664	+	AAFOLC_00200		Aspartate aminotransferase family protein	SO:0001217, UniRef:UniRef50_A0A1E4V667
contig_1	cds	38709	40301	-	AAFOLC_00205		Glutathione hydrolase proenzyme	SO:0001217, UniRef:UniRef50_A0A2E8SZI5
contig_1	cds	40694	41419	+	AAFOLC_00210		HTH gntR-type domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0S2EVJ6
contig_1	cds	41580	42626	-	AAFOLC_00215		NMT1 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A259LFX3
contig_1	cds	42716	43519	-	AAFOLC_00220		ABC transporter permease	SO:0001217, UniRef:UniRef50_A0A0R3MR73
contig_1	cds	43519	44181	-	AAFOLC_00225	ssuB	Aliphatic sulfonates import ATP-binding protein SsuB	SO:0001217, UniRef:UniRef50_A0A6P2EAN2
contig_1	cds	44640	45005	+	AAFOLC_00230		Transposase	SO:0001217, UniRef:UniRef50_A0A0F7KXK4
contig_1	cds	44981	45397	+	AAFOLC_00235		DDE-Tnp-1 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A512BXH1
contig_1	cds	45628	46155	-	AAFOLC_00240		hypothetical protein	
contig_1	cds	46201	46431	-	AAFOLC_00245		hypothetical protein	
contig_1	cds	46929	48473	-	AAFOLC_00250		DUF1254 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2W7B6Q2
contig_1	cds	49012	50079	+	AAFOLC_00255		Glycerol-3-phosphate dehydrogenase [NAD(P)+]	SO:0001217, UniRef:UniRef50_A0A0G3XLD2
contig_1	cds	50093	50863	+	AAFOLC_00260		Alpha,alpha-trehalose-phosphate synthase (UDP-forming)	SO:0001217, UniRef:UniRef50_W8RSG0
contig_1	cds	50860	52386	+	AAFOLC_00265		Glucosylglycerol-phosphate synthase	SO:0001217, UniRef:UniRef50_O65979
contig_1	cds	52380	53672	+	AAFOLC_00270		ABC transporter substrate-binding protein	SO:0001217, UniRef:UniRef50_A0A5B0KXL9
contig_1	cds	53669	54592	+	AAFOLC_00275	thuF	ABC-type trehalose/maltose/sucrose uptake system permease component ThuF	SO:0001217, UniRef:UniRef50_A0A0P7XH17
contig_1	cds	54589	55422	+	AAFOLC_00280		Binding-protein-dependent transport systems inner membrane component	SO:0001217, UniRef:UniRef50_C4WM98
contig_1	cds	55428	56477	+	AAFOLC_00285	malK	Maltose/maltodextrin import ATP-binding protein MalK	SO:0001217, UniRef:UniRef50_A0A165XRX5
contig_1	cds	56654	58285	-	AAFOLC_00290		Arylsulfatase	SO:0001217, UniRef:UniRef50_A0A5P2ZZI8
contig_1	cds	58840	59796	+	AAFOLC_00295	araC	Helix-turn-helix-domain containing protein AraC type	SO:0001217, UniRef:UniRef50_A7IJI0
contig_1	cds	59932	60414	-	AAFOLC_00300	cynS	cyanase	EC:4.2.1.104, KEGG:K01725, SO:0001217, UniRef:UniRef50_A3WVL2, UniRef:UniRef90_UPI001F423DA0
contig_1	cds	60488	61441	-	AAFOLC_00305	cmpD	Bicarbonate transport ATP-binding protein CmpD	SO:0001217, UniRef:UniRef50_A0A0S3PSR9
contig_1	cds	61445	62287	-	AAFOLC_00310	ntrB	nitrate ABC transporter permease	COG:COG0600, COG:P, KEGG:K15577, SO:0001217, UniRef:UniRef50_Q89IA6, UniRef:UniRef90_A0A3L7APH2
contig_1	cds	62291	63658	-	AAFOLC_00315		ABC transporter nitrate-binding protein	SO:0001217, UniRef:UniRef50_A0A379I7M2
contig_1	cds	63732	64913	-	AAFOLC_00320		Ferredoxin--NAD(P)(+) reductase fdr	SO:0001217, UniRef:UniRef50_A0A0D6JGT1
contig_1	cds	64910	65521	-	AAFOLC_00325		2-hydroxychromene-2-carboxylate isomerase	SO:0001217, UniRef:UniRef50_A7IIL4
contig_1	cds	65545	66399	-	AAFOLC_00330		protein-tyrosine-phosphatase	SO:0001217, UniRef:UniRef50_A0A258S2G4
contig_1	cds	66493	67611	-	AAFOLC_00335		Acyl-CoA-dh-N domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1T4TK33
contig_1	cds	67677	68243	-	AAFOLC_00340		Peroxiredoxin	SO:0001217, UniRef:UniRef50_A4YRQ3
contig_1	cds	68537	69151	+	AAFOLC_00345		HTH tetR-type domain-containing protein	SO:0001217, UniRef:UniRef50_A0A508T776
contig_1	cds	69292	70419	+	AAFOLC_00350		S-(Hydroxymethyl)glutathione dehydrogenase	SO:0001217, UniRef:UniRef50_A0A0J6CAC8
contig_1	cds	70466	71302	-	AAFOLC_00355		Usp domain-containing protein	SO:0001217, UniRef:UniRef50_Q6N9M5
contig_1	cds	71535	72398	-	AAFOLC_00360		hypothetical protein	PFAM:PF01729.22, PFAM:PF02749.19
contig_1	cds	72408	73964	-	AAFOLC_00365		L-aspartate oxidase	SO:0001217, UniRef:UniRef50_A0A7J5UTJ8
contig_1	cds	73961	74944	-	AAFOLC_00370	nadA	quinolinate synthase NadA	EC:2.5.1.72, KEGG:K03517, SO:0001217, UniRef:UniRef50_Q9PC58, UniRef:UniRef90_A0A3L7APD2
contig_1	cds	75005	75931	-	AAFOLC_00375		AraR-C domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2C9D1B4
contig_1	cds	76072	76440	-	AAFOLC_00380		IS5 family transposase	SO:0001217, UniRef:UniRef50_A0A8J2Z1F5
contig_1	cds	76455	76829	-	AAFOLC_00385		Transposase	SO:0001217, UniRef:UniRef50_A0A1F8I0I1
contig_1	cds	77623	79029	-	AAFOLC_00390	pntB	NAD/NADP transhydrogenase beta subunit	COG:C, COG:COG1282, EC:1.6.1.2, EC:7.1.1.1, KEGG:K00325, SO:0001217, UniRef:UniRef50_E1VMU4, UniRef:UniRef90_A0A3L7AN52
contig_1	cds	79040	79495	-	AAFOLC_00395		proton-translocating NAD(P)(+) transhydrogenase	SO:0001217, UniRef:UniRef50_A0A218PV39
contig_1	cds	79492	80643	-	AAFOLC_00400		Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha	SO:0001217, UniRef:UniRef50_A0A7C1XJD5, UniRef:UniRef90_A0A3L7AM00
contig_1	cds	80678	80830	-	AAFOLC_00405		COX4-pro-2 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A848JZ62
contig_1	cds	81000	82469	+	AAFOLC_00410		hypothetical protein	PFAM:PF04055.24
contig_1	cds	82510	83013	+	AAFOLC_00415		Glyoxalase/bleomycin resistance protein/dioxygenase	SO:0001217, UniRef:UniRef50_D7A3Q1
contig_1	cds	83036	83752	-	AAFOLC_00420	tetR	Transcriptional regulator, TetR family	SO:0001217, UniRef:UniRef50_A7IGP5
contig_1	ncRNA-region	84265	84323	+			terC RNA	RFAM:RF03067, SO:0005836
contig_1	cds	84380	85354	+	AAFOLC_00425		DAGKc domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0H3KSW9
contig_1	cds	85366	86106	+	AAFOLC_00430	terC	TerC family protein	SO:0001217, UniRef:UniRef50_A0A564WGU0
contig_1	cds	86222	86593	+	AAFOLC_00435		Secreted protein	SO:0001217, UniRef:UniRef50_A7IGP2
contig_1	cds	86779	88080	-	AAFOLC_00440	puuB	Gamma-glutamylputrescine oxidoreductase PuuB	SO:0001217, UniRef:UniRef50_F7ZAJ9
contig_1	cds	88216	89619	-	AAFOLC_00445		Glutamine synthetase	EC:6.3.1.2, KEGG:K01915, SO:0001217, UniRef:UniRef50_A6U681, UniRef:UniRef90_A0A3L7ARA0
contig_1	cds	89943	90806	-	AAFOLC_00450		DUF3108 domain-containing protein	SO:0001217, UniRef:UniRef50_A7IGN9
contig_1	cds	91150	91674	+	AAFOLC_00455	infC	translation initiation factor IF-3	COG:COG0290, COG:J, GO:0003743, GO:0005737, SO:0001217, UniRef:UniRef50_Q89WH7, UniRef:UniRef90_A7IGN8
contig_1	cds	92055	92714	-	AAFOLC_00460		Lectin-like protein BA14k	SO:0001217, UniRef:UniRef50_A0A848K8B3
contig_1	cds	92941	93402	+	AAFOLC_00465		hypothetical protein	
contig_1	cds	93559	95433	-	AAFOLC_00470		Glycosyl transferase family 1	SO:0001217, UniRef:UniRef50_A0A2W6YE47
contig_1	cds	95547	97961	-	AAFOLC_00475		Phenylalanine--tRNA ligase beta subunit	SO:0001217, UniRef:UniRef50_Q89WI2
contig_1	cds	97973	99082	-	AAFOLC_00480	pheS	phenylalanine--tRNA ligase subunit alpha	EC:6.1.1.20, KEGG:K01889, SO:0001217, UniRef:UniRef50_Q8UIN5, UniRef:UniRef90_A0A3L7AI01
contig_1	cds	99351	99713	-	AAFOLC_00485	rplT	50S ribosomal protein L20	COG:COG0292, COG:J, KEGG:K02887, SO:0001217, UniRef:UniRef50_Q8UIN7, UniRef:UniRef90_A0A258J3V8
contig_1	cds	99748	99948	-	AAFOLC_00490	rpmI	50S ribosomal protein L35	COG:COG0291, COG:J, KEGG:K02916, SO:0001217, UniRef:UniRef50_A8LLG9, UniRef:UniRef90_UPI001F3D133A
contig_1	cds	100394	102622	-	AAFOLC_00495		Glycine--tRNA ligase beta subunit	SO:0001217, UniRef:UniRef50_A9CK39
contig_1	cds	102628	103227	-	AAFOLC_00500	yddQ	Uncharacterized isochorismatase family protein YddQ	SO:0001217, UniRef:UniRef50_A0A1K0IBF6
contig_1	cds	103224	104171	-	AAFOLC_00505	glyQ	glycine--tRNA ligase subunit alpha	COG:COG0752, COG:J, SO:0001217, UniRef:UniRef50_Q20YB4, UniRef:UniRef90_A7IKL6
contig_1	cds	104421	105512	-	AAFOLC_00510	takP	Alpha-keto acid-binding periplasmic protein TakP	SO:0001217, UniRef:UniRef50_Q3J1R2
contig_1	cds	105680	106786	-	AAFOLC_00515		Iron-sulfur cluster carrier protein	SO:0001217, UniRef:UniRef50_A0A1U9YY37
contig_1	cds	107115	107795	-	AAFOLC_00520		UDG domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0S2ERB0
contig_1	cds	107773	108516	-	AAFOLC_00525		Ribonuclease BN (tRNA processing enzyme)	SO:0001217, UniRef:UniRef50_A0A4V2UX72
contig_1	cds	108522	109136	-	AAFOLC_00530		Glutathione S-transferase GST-6-0	SO:0001217, UniRef:UniRef50_A0A5J4DUX4
contig_1	cds	109430	110005	-	AAFOLC_00535		Thioredoxin domain-containing protein	SO:0001217, UniRef:UniRef50_D7A6E7
contig_1	cds	110027	110755	-	AAFOLC_00540	dsbD	Thiol:disulfide interchange protein DsbD	SO:0001217, UniRef:UniRef50_A0A2S6U6D8
contig_1	cds	110944	111360	+	AAFOLC_00545	soxS	Regulatory protein SoxS	SO:0001217, UniRef:UniRef50_A0A1E4DYB5
contig_1	cds	111409	111783	+	AAFOLC_00550	arsR	DNA-binding transcriptional regulator, ArsR family	COG:COG0640, COG:K, SO:0001217, UniRef:UniRef50_K8PHP1, UniRef:UniRef90_A0A848JYH7
contig_1	cds	111853	112977	+	AAFOLC_00555		Sulf-transp domain-containing protein	SO:0001217, UniRef:UniRef50_Q130K9
contig_1	cds	113087	114244	-	AAFOLC_00560		Pyridine nucleotide-disulfide oxidoreductase	SO:0001217, UniRef:UniRef50_A0A0B0H6M7
contig_1	cds	114249	114872	-	AAFOLC_00565		Sulf-transp domain-containing protein	SO:0001217, UniRef:UniRef50_A0A8F7ZI59
contig_1	cds	114899	115453	-	AAFOLC_00570		Sulf-transp domain-containing protein	SO:0001217, UniRef:UniRef50_G8PTW3
contig_1	cds	115687	117009	+	AAFOLC_00575		Sulfide dehydrogenase [flavocytochrome c] flavoprotein chain	SO:0001217, UniRef:UniRef50_A0A5P8Z4R5
contig_1	cds	117028	117381	+	AAFOLC_00580		GlsB/YeaQ/YmgE family stress response membrane protein	SO:0001217, UniRef:UniRef50_A0A4R3M0K3
contig_1	cds	117378	117881	+	AAFOLC_00585		S5A-REDUCTASE domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2C9D3G9
contig_1	cds	117974	119161	+	AAFOLC_00590		Adenine DNA glycosylase	SO:0001217, UniRef:UniRef50_Q89SA6
contig_1	cds	119424	120590	-	AAFOLC_00595	ccrM	DNA methyltransferase CcrM	SO:0001217, UniRef:UniRef50_P0CAW2
contig_1	cds	120727	121398	-	AAFOLC_00600		hypothetical protein	
contig_1	cds	121473	122612	-	AAFOLC_00605	opgC	OpgC domain-containing protein	SO:0001217, UniRef:UniRef50_A0A848JT14
contig_1	cds	122827	123753	-	AAFOLC_00610	garR	2-hydroxy-3-oxopropionate reductase GarR	SO:0001217, UniRef:UniRef50_I3X2K5
contig_1	cds	123860	124915	+	AAFOLC_00615	lacI	LacI family transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A6F8US65
contig_1	cds	124912	125769	+	AAFOLC_00620	rlmB	23S rRNA (Guanosine-2'-O-)-methyltransferase RlmB	SO:0001217, UniRef:UniRef50_A0A246KGL7
contig_1	cds	125801	126514	-	AAFOLC_00625	mgtC	Protein MgtC	SO:0001217, UniRef:UniRef50_A0A0C6F9V5
contig_1	cds	126614	127042	-	AAFOLC_00630		VOC family protein	SO:0001217, UniRef:UniRef50_A0A3L7AG34
contig_1	cds	127096	127347	+	AAFOLC_00635		hypothetical protein	
contig_1	cds	127420	128844	+	AAFOLC_00640	leuC	Homoaconitase/3-isopropylmalate dehydratase large subunit	COG:COG0065, COG:E, EC:4.2.1.33, EC:4.2.1.35, KEGG:K01703, SO:0001217, UniRef:UniRef50_Q44427, UniRef:UniRef90_A7IEI6
contig_1	cds	129038	129157	-	AAFOLC_00645		Serine protease	SO:0001217, UniRef:UniRef50_A0A848JXU1
contig_1	cds	129382	129804	+	AAFOLC_00650		Acetylglutamate kinase	SO:0001217, UniRef:UniRef50_A0A1L3LRU3
contig_1	cds	129934	130488	+	AAFOLC_00655		Cytochrome B561	SO:0001217, UniRef:UniRef50_A7IEJ2
contig_1	cds	130600	131205	+	AAFOLC_00660		3-isopropylmalate dehydratase small subunit	SO:0001217, UniRef:UniRef50_Q1MA52
contig_1	cds	131395	133221	+	AAFOLC_00665		RCK N-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1M3KK91
contig_1	ncRNA-region	133720	133771	+			serC leader	RFAM:RF00517, SO:0000140
contig_1	cds	133772	134947	+	AAFOLC_00670	serC	phosphoserine transaminase	COG:COG1932, COG:HE, SO:0001217, UniRef:UniRef50_A0A011QLQ4, UniRef:UniRef90_A7IEK9
contig_1	cds	135157	136743	+	AAFOLC_00675		D-3-phosphoglycerate dehydrogenase	SO:0001217, UniRef:UniRef50_A0A4Y3ZP00
contig_1	cds	136846	137778	-	AAFOLC_00680		DMT family transporter	SO:0001217, UniRef:UniRef50_A7IEK6
contig_1	cds	138043	138639	-	AAFOLC_00685		Disulfide bond formation protein B	SO:0001217, UniRef:UniRef50_A0A1Q8ZKM8
contig_1	cds	138648	138803	-	AAFOLC_00690		C4-dicarboxylate ABC transporter	SO:0001217, UniRef:UniRef50_A0A4R3M618
contig_1	cds	138940	139839	-	AAFOLC_00695		Glyoxalase	SO:0001217, UniRef:UniRef50_A0A258DY39
contig_1	cds	140072	142045	-	AAFOLC_00700	sbm	Methylmalonyl-CoA mutase, C-terminal domain/subunit (cobalamin-binding)	COG:COG2185, COG:I, SO:0001217, UniRef:UniRef50_Q3IZ90, UniRef:UniRef90_A7IEK3
contig_1	cds	142236	142472	-	AAFOLC_00705		GlsB/YeaQ/YmgE family stress response membrane protein	SO:0001217, UniRef:UniRef50_A0A091BEB3
contig_1	cds	142822	144111	+	AAFOLC_00710	ccrA	crotonyl-CoA carboxylase/reductase	COG:COG0604, COG:CR, SO:0001217, UniRef:UniRef50_A0A3G3LHX6, UniRef:UniRef90_A0A3L7AE02
contig_1	cds	144246	144593	-	AAFOLC_00715	hlyD	HlyD family type I secretion periplasmic adaptor subunit	SO:0001217, UniRef:UniRef50_A7IGT5
contig_1	cds	144612	145760	+	AAFOLC_00720		Pseudouridine synthase	SO:0001217, UniRef:UniRef50_A0A7X0DP36
contig_1	cds	145876	146778	+	AAFOLC_00725	rpoH	RNA polymerase sigma factor RpoH	COG:COG0568, COG:K, SO:0001217, UniRef:UniRef50_P50507, UniRef:UniRef90_A7IGT7
contig_1	cds	146970	148079	-	AAFOLC_00730		Zinc metalloprotease	SO:0001217, UniRef:UniRef50_A0A5M6IUJ3
contig_1	cds	148207	148650	+	AAFOLC_00735	marR	DNA-binding transcriptional regulator, MarR family	SO:0001217, UniRef:UniRef50_A0A285RYP1
contig_1	cds	148647	149993	+	AAFOLC_00740		Bcr/CflA family efflux transporter	SO:0001217, UniRef:UniRef50_A0A4R2GXH5
contig_1	cds	150154	150831	-	AAFOLC_00745		hypothetical protein	
contig_1	cds	151223	151699	+	AAFOLC_00750		protein-tyrosine-phosphatase	SO:0001217, UniRef:UniRef50_A0A3L7AG49
contig_1	cds	151734	152711	-	AAFOLC_00755		D-erythronate dehydrogenase	SO:0001217, UniRef:UniRef50_A0A2K9ZBF0
contig_1	cds	152730	153476	-	AAFOLC_00760		2-keto-3-deoxy-L-fuconate dehydrogenase	SO:0001217, UniRef:UniRef50_A0A7Z0AZ73
contig_1	cds	153511	154221	-	AAFOLC_00765		Acetyltransferase	SO:0001217, UniRef:UniRef50_A0A157LZX6
contig_1	cds	154255	156069	-	AAFOLC_00770	ilvD	Dihydroxyacid dehydratase/phosphogluconate dehydratase	COG:COG0129, COG:EG, EC:4.2.1.82, KEGG:K22186, SO:0001217, UniRef:UniRef50_Q9A9Z2, UniRef:UniRef90_A0A848K3R7
contig_1	cds	156179	157369	-	AAFOLC_00775		Low temperature requirement protein A	SO:0001217, UniRef:UniRef50_A0A370K953
contig_1	cds	157575	158354	+	AAFOLC_00780		Biotin transport system ATP-binding protein	SO:0001217, UniRef:UniRef50_A0A7W6TX28
contig_1	cds	158351	158974	+	AAFOLC_00785		Cobalt transport protein	SO:0001217, UniRef:UniRef50_A7IGV5
contig_1	cds	158977	159519	+	AAFOLC_00790	bioY	Biotin transporter BioY	SO:0001217, UniRef:UniRef50_D5ARG8
contig_1	cds	159575	160489	+	AAFOLC_00795		CHAD domain-containing protein	SO:0001217, UniRef:UniRef50_A7IGV9
contig_1	cds	160580	161710	-	AAFOLC_00800		Acyl-CoA dehydrogenase	SO:0001217, UniRef:UniRef50_A0A011P2E8, UniRef:UniRef90_A0A3L7AA20
contig_1	cds	161785	162546	-	AAFOLC_00805		Putative 3-hydroxyacyl-CoA dehydrogenase (Short-chain)	SO:0001217, UniRef:UniRef50_A0A238D7R6
contig_1	cds	162814	164763	+	AAFOLC_00810		Poly-beta-hydroxybutyrate polymerase	SO:0001217, UniRef:UniRef50_A0A0P1H2W5
contig_1	cds	164780	165763	-	AAFOLC_00815		Zinc-binding alcohol dehydrogenase family protein	SO:0001217, UniRef:UniRef50_A0A3M1AZF7
contig_1	cds	165807	166784	-	AAFOLC_00820		Rubrerythrin domain-containing protein	SO:0001217, UniRef:UniRef50_A3SLZ0
contig_1	cds	166911	168851	+	AAFOLC_00825		Silver exporting P-type ATPase	SO:0001217, UniRef:UniRef50_A0A238L726
contig_1	cds	169060	171174	+	AAFOLC_00830		Fibronectin type-III domain-containing protein	SO:0001217, UniRef:UniRef50_A0A258J1N2
contig_1	cds	171267	172496	-	AAFOLC_00835	argG	argininosuccinate synthase	COG:COG0137, COG:E, EC:6.3.4.5, GO:0004055, GO:0005524, GO:0005737, GO:0006526, KEGG:K01940, SO:0001217, UniRef:UniRef50_Q2RMV0, UniRef:UniRef90_A7IGW4
contig_1	cds	172539	173354	-	AAFOLC_00840		acidPPc domain-containing protein	SO:0001217, UniRef:UniRef50_A0A258IM93
contig_1	cds	173539	174171	+	AAFOLC_00845		2-hydroxychromene-2-carboxylate isomerase	SO:0001217, UniRef:UniRef50_A8IQ60
contig_1	cds	174184	175062	-	AAFOLC_00850		DUF4232 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A4R3M1F7
contig_1	cds	175218	176588	-	AAFOLC_00855		Zinc protease	SO:0001217, UniRef:UniRef50_A0A7W9CUE2
contig_1	cds	176585	177925	-	AAFOLC_00860		Zinc protease	SO:0001217, UniRef:UniRef50_A0A192IKD6
contig_1	cds	178094	178831	-	AAFOLC_00865		Signal peptide protein	SO:0001217, UniRef:UniRef50_A7IHF6
contig_1	cds	178844	179422	-	AAFOLC_00870		Lipoprotein signal peptidase	SO:0001217, UniRef:UniRef50_D6ZZF8
contig_1	cds	179426	182533	-	AAFOLC_00875		Isoleucine--tRNA ligase	SO:0001217, UniRef:UniRef50_Q6N1M8
contig_1	cds	182933	184306	-	AAFOLC_00880		Ammonium transporter	SO:0001217, UniRef:UniRef50_A0A0A6U0R4
contig_1	cds	184336	184674	-	AAFOLC_00885	glnK	Nitrogen regulatory protein PII	COG:COG0347, COG:TE, SO:0001217, UniRef:UniRef50_P43519, UniRef:UniRef90_A8HSW9
contig_1	cds	184995	185870	-	AAFOLC_00890		Acyl-CoA thioesterase II	SO:0001217, UniRef:UniRef50_A0A3L7ABJ9
contig_1	cds	185999	187300	+	AAFOLC_00895		2-octaprenyl-6-methoxyphenol hydroxylase	SO:0001217, UniRef:UniRef50_A0A3S5CYD0
contig_1	cds	187308	188261	-	AAFOLC_00900		Hydrolase-4 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A259KX84
contig_1	cds	188456	189685	+	AAFOLC_00905		NAD(FAD)-utilizing dehydrogenase	SO:0001217, UniRef:UniRef50_A0A1T5GVK7
contig_1	cds	189675	190247	-	AAFOLC_00910		DUF924 domain-containing protein	SO:0001217, UniRef:UniRef50_A7IGM9
contig_1	cds	190244	191410	-	AAFOLC_00915	cobW	CobW C-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A0A208XGH7
contig_1	cds	191682	192998	-	AAFOLC_00920		hypothetical protein	PFAM:PF00768.23, PFAM:PF13354.9
contig_1	cds	193197	194981	-	AAFOLC_00925	ndvA	Beta-(1-->2)glucan export ATP-binding/permease protein NdvA	SO:0001217, UniRef:UniRef50_Q89UT8
contig_1	cds	195406	195540	+	AAFOLC_00930	rpmH	50S ribosomal protein L34	COG:COG0230, COG:J, GO:0003735, GO:0005840, GO:0006412, GO:1990904, SO:0001217, UniRef:UniRef50_C1DNG0, UniRef:UniRef90_A7IGM5
contig_1	cds	195567	195950	+	AAFOLC_00935		Ribonuclease P protein component	SO:0001217, UniRef:UniRef50_A8ILM5
contig_1	cds	195947	197779	+	AAFOLC_00940	yidC	Membrane protein insertase YidC	SO:0001217, UniRef:UniRef50_Q92SF5
