start,EC
530979,EC=1.12.99.6
545468,EC=1.1.1.100
547786,EC=3.6.3.31
551421,EC=3.4.11.5
555729,EC=6.4.1.6
556436,EC=6.4.1.6
558950,EC=6.4.1.6
564991,EC=2.7.7.8
567920,EC=3.1.11.2
572377,EC=2.6.1.17
573729,"EC=2.7.1.26,2.7.7.2"
576007,EC=6.3.2.9
578164,EC=2.7.8.13
579263,"EC=6.3.2.10,6.3.2.13"
580708,EC=6.3.2.13
582258,EC=3.4.16.4
584828,EC=2.1.1.199
587317,"EC=2.5.1.3,3.5.1.28"
588346,EC=5.3.1.13
591017,EC=3.5.1.9
596783,EC=3.1.1.5
598127,EC=1.1.1.6
600947,EC=6.4.1.4
602565,EC=4.2.1.18
603338,EC=6.4.1.4
605338,EC=4.1.3.4
617651,EC=2.7.13.3
625039,EC=4.1.1.20
626814,EC=4.3.2.1
629451,EC=5.1.3.14
636365,"EC=2.1.2.3,3.5.4.10"
640062,EC=2.1.1.176
641643,EC=6.3.4.4
649286,EC=4.2.1.147
660644,EC=1.1.2.8
668820,EC=3.5.4.27
673423,EC=1.2.7.12
674226,EC=2.3.1.101
675161,EC=1.2.7.12
676807,EC=1.2.7.12
680943,EC=1.3.3.11
686299,EC=3.6.1.27
687484,EC=2.5.1.18
688254,EC=1.17.99.6
689485,EC=2.8.4.3
695759,EC=2.5.1.6
697091,EC=2.1.1.33
698812,EC=2.3.1.51
700299,EC=2.3.1.128
700775,EC=2.3.1.234
704568,EC=4.1.1.37
705857,"EC=2.7.11.33,2.7.4.28"
707420,EC=1.1.1.25
708286,EC=2.7.1.24
708895,EC=2.7.7.7
715617,EC=2.1.1.170
721129,"EC=5.4.99.28,5.4.99.29"
723598,EC=1.1.1.30
726261,"EC=1.17.7.1,1.17.7.3"
729263,EC=4.6.1.1
735183,EC=6.3.4.20
737150,EC=6.6.1.2
738199,EC=6.6.1.2
747538,EC=2.4.1.227
748662,EC=6.3.2.8
750770,EC=5.99.1.3
753306,EC=1.20.4.1
768969,EC=1.1.1.401
770990,EC=3.5.2.10
771801,EC=3.6.1.13
772427,EC=
781832,EC=4.2.1.51
784556,EC=3.6.1.22
786695,EC=2.7.2.4
788126,EC=2.7.3.9
791474,EC=2.1.1.297
794105,EC=2.7.1.33
795099,EC=3.6.1.31
796320,EC=5.3.1.16
798193,"EC=2.6.1.9,3.1.3.15,4.2.1.19"
798944,EC=3.4.25.2
804794,"EC=2.6.1.18,2.6.1.62"
806607,EC=3.4.11.9
809350,EC=5.1.99.4
813508,EC=2.8.3.5
814152,EC=2.8.3.5
815911,EC=1.3.8.7
819286,EC=1.20.4.1
820189,EC=1.20.4.1
822644,EC=3.6.3.28
825168,EC=1.20.4.1
826873,EC=3.5.2.9
835238,"EC=1.1.1.79,1.1.1.81"
840708,EC=2.3.1.51
844113,EC=2.4.2.8
844702,EC=4.1.1.31
851643,EC=1.3.8.12
856860,EC=2.7.13.3
858368,EC=3.1.1.75
873168,EC=5.4.99.25
885173,EC=1.1.3.15
889528,EC=2.5.1.3
890224,EC=2.3.3.9
891905,EC=5.1.3.1
892833,EC=4.1.2.13
893944,EC=2.2.1.1
896188,EC=2.7.1.19
897085,EC=3.1.3.11
899410,EC=4.1.1.39
899826,EC=4.1.1.39
902385,EC=3.1.4.53
911525,EC=1.1.1.157
921381,EC=2.5.1.17
922003,EC=3.6.1.63
925139,EC=2.7.2.8
926162,EC=2.3.1.183
930691,EC=2.7.1.2
940931,EC=2.1.1.144
941785,EC=3.1.1.45
978513,EC=2.8.1.7
1008895,EC=2.3.1.9
1013741,EC=1.3.8.7
1014901,EC=4.2.1.153
1015752,EC=4.1.3.34
1030322,EC=2.7.7.59
1034859,"EC=2.4.1.129,3.4.16.4"
1051462,EC=3.5.2.6
1052313,EC=2.1.2.11
1054671,"EC=1.1.1.205,1.7.1.7"
1058344,EC=2.7.4.8
1061236,EC=2.3.1.179
1063297,EC=1.1.1.100
1064209,EC=2.3.1.39
1071302,EC=2.4.1.187
1078348,"EC=1.3.5.1,1.3.5.4"
1079228,"EC=1.3.5.1,1.3.5.4"
1084484,EC=4.2.1.148
1087279,EC=4.2.1.103
1088036,"EC=3.1.2.30,4.1.3.34"
1098468,EC=3.4.21.53
1100691,EC=2.1.1.192
1101934,EC=4.4.1.5
1103966,EC=2.6.1.9
1105105,"EC=1.3.1.12,1.3.1.43"
1106524,EC=4.2.1.12
1109437,EC=2.7.13.3
1114023,EC=3.6.3.27
1117819,"EC=2.6.1.11,2.6.1.17"
1119018,EC=2.1.3.3
1130331,"EC=2.8.1.7,4.4.1.16"
1132870,EC=1.18.6.1
1133823,EC=1.18.6.1
1135407,EC=1.18.6.1
1143709,"EC=2.8.1.1,2.8.1.2"
1145294,EC=1.4.3.4
1149296,EC=2.8.1.7
1156676,EC=2.6.1.102
1158755,EC=2.5.1.18
1163723,EC=3.1.1.45
1168514,EC=3.5.1.68
1170707,"EC=3.1.3.15,3.1.3.25,3.1.3.93"
1171499,EC=3.1.1.5
1174003,"EC=1.16.3.3,1.7.2.1"
1175551,EC=3.1.4.3
1177193,"EC=1.1.1.28,1.1.1.29,1.1.1.399,1.1.1.95"
1178432,EC=3.6.3.21
1179238,EC=
1183091,"EC=2.8.1.1,2.8.1.2"
1186905,EC=1.18.6.1
1201093,"EC=4.99.1.1,4.99.1.9"
1202370,EC=2.1.1.63
1203391,EC=1.13.11.79
1213000,EC=1.5.1.20
1214134,EC=2.1.1.13
1220042,EC=2.7.1.45
1223431,EC=1.12.99.6
1224885,EC=1.12.7.2
1225889,EC=2.7.13.3
1228470,EC=1.14.11.33
1229824,EC=3.5.1.19
1234207,"EC=2.1.1.17,2.1.1.71"
1235449,EC=4.1.1.23
1236865,EC=1.17.1.8
1237699,EC=5.4.2.11
1239178,EC=2.7.7.65
1240393,EC=2.7.4.23
1241152,EC=2.7.8.37
1242686,EC=4.7.1.1
1243564,EC=2.7.8.37
1244792,EC=2.7.8.37
1245385,EC=2.7.8.37
1248684,"EC=2.3.2.2,3.4.19.13"
1252222,EC=3.3.1.1
1256050,EC=2.3.2.3
1273019,EC=1.8.5.4
1284002,EC=4.2.99.18
1285000,EC=1.5.1.3
1285509,EC=1.4.3.4
1289165,"EC=2.7.1.71,4.2.3.4"
1289789,"EC=2.7.1.71,4.2.3.4"
1295381,"EC=1.1.1.303,1.1.1.4,1.1.2.4"
1300519,EC=3.6.4.12
1305308,EC=3.5.2.3
1307557,EC=3.2.2.20
1310520,EC=6.1.1.3
1313578,EC=6.3.3.2
1327349,EC=2.7.7.7
1327981,EC=3.4.11.1
1330603,EC=3.6.5.4
1333245,EC=3.5.1.104
1337305,"EC=6.5.1.1,6.5.1.6,6.5.1.7"
1348049,EC=6.3.1.2
1351420,EC=3.1.26.4
1351881,EC=2.7.1.39
1352847,EC=1.17.7.4
1363848,"EC=2.7.7.19,2.7.7.72"
1366728,EC=1.3.3.3
1367812,EC=2.1.1.207
1368505,EC=1.10.2.2
1371531,EC=2.4.2.7
1375186,EC=2.7.13.3
1376351,EC=2.4.2.21
1384506,EC=6.3.4.19
1389543,EC=6.1.1.2
1390639,"EC=2.1.1.222,2.1.1.64"
1395289,EC=3.6.3.54
1398454,EC=2.1.1.171
1399028,EC=5.4.99.22
1401357,"EC=3.5.4.1,3.5.4.3,3.5.4.33"
1402970,EC=3.8.1.3
1404042,EC=2.7.1.35
1404981,EC=5.3.3.17
1410377,EC=1.11.1.15
1413212,EC=2.3.3.14
1414457,EC=2.3.1.30
1416358,EC=1.1.1.37
1417542,EC=6.2.1.5
1418744,EC=6.2.1.5
1420039,EC=1.2.4.2
1423379,EC=2.3.1.61
1424909,EC=1.8.1.4
1432313,EC=1.11.1.15
1436167,EC=3.1.4.52
1439517,EC=1.6.5.5
1450092,EC=2.7.1.221
1451645,"EC=2.7.7.13,2.7.7.99"
1452752,EC=3.6.4.12
1455790,EC=3.6.4.12
1460274,EC=5.4.99.12
1461332,EC=2.1.2.9
1462316,"EC=3.5.1.31,3.5.1.88"
1464227,"EC=3.2.2.23,4.2.99.18"
1477146,EC=2.3.3.1
1484829,EC=3.6.4.13
1488343,EC=4.1.2.52
1489163,"EC=1.1.1.399,1.1.1.95"
1493769,EC=4.99.1.12
1497129,EC=4.3.3.7
1498055,EC=4.2.1.82
1502330,EC=2.2.1.6
1504018,EC=1.1.2.4
1508123,"EC=2.3.1.16,2.3.1.174,2.3.1.9"
1510718,EC=5.3.3.4
1511020,EC=2.8.3.6
1511694,EC=2.8.3.6
1514472,"EC=3.1.1.24,4.1.1.44"
1520392,EC=6.2.1.48
1522087,EC=2.8.3.16
1523256,EC=1.3.8.7
1524424,EC=5.1.99.4
1525608,EC=3.2.1.172
1526780,EC=2.2.1.6
1529478,EC=1.3.8.7
1553281,"EC=1.1.2.3,1.1.3.15"
1583916,EC=3.5.1.105
1589921,EC=3.1.2.6
1594725,"EC=6.2.1.1,6.2.1.17"
1596970,"EC=6.2.1.44,6.2.1.48"
1599965,EC=3.1.3.18
1605069,"EC=2.7.6.5,3.1.7.2"
1606537,EC=3.5.4.16
1608047,"EC=3.5.4.19,3.6.1.31"
1609020,EC=6.3.4.6
1617436,EC=3.1.3.18
1618479,EC=6.2.1.1
1623803,EC=1.1.1.94
1624786,EC=2.3.1.234
1625958,EC=2.5.1.61
1626920,EC=4.2.1.75
1632044,EC=2.5.1.7
1636459,EC=1.1.1.23
1638254,"EC=1.20.4.1,3.1.3.48"
1638954,EC=1.13.12.16
1643812,"EC=4.1.2.50,4.2.3.12"
1644174,EC=4.3.99.3
1648721,EC=2.1.2.10
1650217,EC=1.3.8.7
1652231,EC=2.1.2.10
1654993,EC=1.14.13.238
1655577,EC=1.14.13.238
1656541,EC=1.14.13.238
1668119,EC=1.13.12.16
1674079,EC=1.1.1.35
1676151,EC=6.2.1.3
1677887,EC=2.3.1.9
1690361,EC=2.2.1.2
1691386,"EC=3.6.1.11,3.6.1.40"
1692582,EC=2.1.1.166
1696296,EC=2.1.1.223
1697387,EC=2.5.1.90
1704831,EC=3.1.3.3
1711087,EC=5.4.99.15
1714550,"EC=3.2.1.1,5.4.99.16"
1718170,EC=3.2.1.20
1731145,EC=1.1.1.100
1733165,EC=4.2.1.55
1733803,EC=6.3.4.6
1739280,EC=2.3.1.16
1749106,EC=4.1.2.20
1754846,EC=1.1.5.3
1756398,EC=2.7.1.30
1758513,EC=3.6.1.27
1763722,EC=2.7.13.3
1767787,EC=3.5.3.9
1769433,EC=3.6.3.21
1777754,EC=4.1.1.35
1782747,EC=5.4.99.9
1787023,EC=2.7.13.3
1791972,EC=6.3.4.13
1793375,EC=3.1.11.6
1795467,EC=2.7.1.130
1796501,"EC=2.4.99.12,2.4.99.13,2.4.99.14,2.4.99.15"
1798838,EC=3.1.3.25
1799802,EC=2.5.1.39
1801774,EC=2.2.1.6
1803642,EC=2.2.1.6
1804255,EC=1.1.1.86
1814664,EC=3.6.3.34
1828489,"EC=6.3.4.14,6.4.1.2"
1830406,EC=4.2.1.10
1831130,EC=3.5.1.54
1833591,EC=3.5.1.10
1834559,EC=1.5.99.5
1835172,"EC=1.5.3.1,1.5.99.5"
1838141,"EC=1.5.3.1,1.5.99.5"
1838625,"EC=1.5.3.1,1.5.99.5"
1843392,"EC=6.3.1.2,6.3.4.12"
1844875,EC=2.1.1.21
1846290,EC=2.1.1.21
1846997,EC=2.1.1.21
1859616,EC=2.8.3.16
1877897,EC=2.2.1.6
1881875,EC=3.5.2.3
1900886,"EC=2.3.2.2,3.4.19.13"
1906937,EC=1.2.1.3
1914007,EC=3.1.1.24
1917434,EC=1.1.1.100
1925310,EC=2.5.1.18
1929459,EC=6.3.5.2
1931836,EC=2.1.1.176
1933131,EC=3.2.2.9
1939411,EC=6.1.1.6
1950746,EC=3.4.19.3
1952852,"EC=2.7.6.3,4.1.2.25"
1953342,"EC=2.5.1.15,2.7.6.3"
1968259,EC=1.3.99.16
1968724,EC=1.3.99.16
1974725,EC=2.7.7.87
1976042,"EC=1.3.8.1,1.3.8.7"
1987044,EC=2.8.3.16
1990523,EC=5.3.1.9
1992172,EC=3.1.1.31
1992887,"EC=1.1.1.363,1.1.1.49"
1996571,EC=6.3.4.18
1997684,EC=5.4.99.18
1998371,EC=2.7.7.7
2001664,"EC=1.3.1.76,2.1.1.107,4.99.1.4"
2005306,EC=2.4.2.14
2010505,"EC=1.1.1.276,1.1.1.381"
2011436,"EC=2.7.8.41,2.7.8.5"
2013932,EC=2.7.4.1
2016069,"EC=3.6.1.11,3.6.1.40"
2018031,EC=1.1.1.40
2023632,EC=6.1.1.12
2028048,EC=3.1.13.5
2039508,EC=3.1.22.4
2040504,EC=3.6.4.12
2043002,EC=3.6.4.12
2044533,EC=5.1.1.1
2045681,EC=3.6.4.12
2047522,EC=4.3.3.7
2048481,EC=1.1.1.100
2051601,"EC=2.1.3.15,6.4.1.2"
2067511,EC=2.2.1.1
2069582,EC=1.2.1.12
2070616,EC=2.7.2.3
2071879,EC=4.1.2.13
2073235,EC=2.5.1.3
2075037,EC=3.1.3.25
2076480,EC=2.7.1.23
2082698,EC=1.1.1.100
2083612,EC=1.4.3.5
2087405,EC=1.1.1.3
2089043,EC=2.7.4.1
2090575,EC=4.2.1.55
2099435,EC=3.2.2.21
2105228,EC=4.2.1.3
2108090,EC=3.6.3.41
2111080,EC=2.7.7.80
2112050,EC=1.1.1.26
2113207,EC=6.1.1.12
2114008,EC=2.3.1.241
2114963,EC=1.1.1.1
2116860,EC=2.3.1.179
2118397,EC=2.3.1.179
2119571,EC=4.2.1.59
2123677,EC=3.1.26.4
2125979,EC=3.6.3.29
2129757,EC=3.6.4.13
2137602,EC=3.1.3.18
2139327,EC=5.3.1.6
2143258,EC=1.8.1.7
2146350,EC=2.5.1.54
2153729,EC=1.11.1.10
2154971,"EC=1.2.1.54,1.2.1.99"
2156630,EC=2.1.1.67
2157524,EC=2.6.1.113
2159023,EC=2.5.1.18
2160657,EC=2.1.1.266
2161540,"EC=3.1.27.1,3.1.27.6"
2166288,EC=2.6.1.1
2167915,EC=2.5.1.18
2169281,EC=1.1.5.2
2181314,"EC=3.5.1.4,6.3.5.6,6.3.5.7"
2187303,EC=6.3.5.5
2192463,EC=1.8.1.9
2200468,EC=3.4.13.22
2204901,EC=3.6.3.8
2217255,EC=1.8.99.2
2219929,"EC=1.18.1.2,1.19.1.1"
2226346,EC=3.6.3.6
2229167,EC=2.3.1.19
2230543,EC=2.7.2.1
2237183,"EC=6.3.1.5,6.3.5.1"
2240895,EC=1.1.99.1
2244549,"EC=1.2.1.18,1.2.1.27"
2246454,EC=6.3.5.2
2250300,EC=6.3.1.2
2259163,EC=1.4.5.1
2260457,EC=5.1.1.1
2262887,"EC=2.6.1.18,2.6.1.62"
2282647,EC=3.5.99.10
2283611,EC=1.1.1.404
2301286,EC=3.6.3.20
2304279,EC=2.3.1.9
2305590,EC=6.2.1.44
2307349,EC=1.1.1.35
2309442,EC=1.1.1.69
2315842,"EC=3.5.99.7,4.4.1.15"
2317526,EC=3.4.17.11
2330366,EC=2.6.1.109
2345664,"EC=2.3.1.16,2.3.1.174,2.3.1.9"
2346982,EC=1.1.1.157
2350626,EC=1.1.1.157
2351299,EC=1.1.1.157
2352184,EC=1.3.8.7
2356566,EC=4.1.3.36
2362922,EC=3.6.3.8
2367892,EC=2.3.1.180
2368890,EC=2.6.1.62
2370143,"EC=2.1.1.197,6.3.3.3"
2370784,EC=2.3.1.47
2371929,EC=2.8.1.6
2374869,EC=3.6.3.30
2379233,EC=3.11.1.1
2380039,"EC=2.6.1.19,4.1.1.64"
2381536,EC=1.8.5.7
2383861,EC=1.14.13.1
2388161,EC=1.11.1.10
2389007,EC=2.3.1.30
2390358,EC=3.1.1.24
2392493,EC=1.17.1.9
2393780,EC=1.17.1.9
2396630,EC=1.6.5.3
2403682,EC=3.1.3.7
2411909,EC=3.5.3.11
2414190,EC=1.6.99.3
2415332,EC=2.3.2.6
2424436,"EC=4.1.2.14,4.1.3.42"
2427217,EC=3.5.1.4
2428567,EC=3.5.4.1
2440957,EC=2.5.1.18
2448797,EC=3.5.5.7
2456009,EC=1.2.5.3
2457208,EC=1.2.5.3
2458065,EC=1.2.5.3
2460428,EC=3.5.1.9
2461282,EC=3.5.2.3
2465939,EC=2.1.1.176
2477845,EC=1.7.1.15
2480295,EC=1.7.1.15
2496028,EC=1.1.5.3
2499059,EC=3.6.3.21
2506091,"EC=6.3.2.29,6.3.2.30"
2515315,"EC=1.1.1.399,1.1.1.95"
2523209,EC=2.1.1.72
2526135,EC=3.1.21.5
2537996,EC=2.4.1.129
2538838,"EC=2.5.1.1,2.5.1.10"
2542314,EC=3.8.1.2
2543765,EC=4.1.99.22
2546521,"EC=1.8.4.10,1.8.4.8"
2547754,EC=1.8.1.2
2550611,EC=1.6.5.5
2551683,EC=5.3.3.18
2561178,EC=4.1.1.9
2605876,EC=2.3.1.9
2646709,EC=2.3.1.9
2651060,EC=3.5.2.14
2652997,EC=6.4.1.6
2653490,EC=3.5.2.14
2655688,EC=3.5.2.14
2660812,EC=2.3.1.9
2665654,EC=2.5.1.16
2669266,EC=3.5.1.18
2675791,EC=1.4.5.1
2678987,EC=4.4.1.5
2740917,EC=2.1.1.113
2765766,EC=1.1.2.7
2767838,EC=1.1.2.7
2770954,EC=2.7.13.3
2786967,EC=1.6.5.3
2797456,EC=3.6.1.27
2799812,EC=4.4.1.8
2805024,EC=3.6.3.21
2806812,EC=5.4.3.2
2809129,EC=2.7.7.76
2814884,EC=5.99.1.2
2819424,EC=2.3.1.15
2820065,EC=3.5.2.3
2821371,EC=2.1.3.2
2825101,"EC=3.1.3.82,3.1.3.83"
2826262,EC=5.3.1.28
2826988,EC=2.7.7.24
2827857,EC=1.1.1.133
2828765,EC=4.2.1.46
2829832,EC=5.1.3.13
2830565,"EC=2.8.1.1,2.8.1.2"
2831546,EC=2.5.1.47
2832666,EC=4.1.99.3
2840435,EC=1.9.3.1
2841450,EC=1.9.3.1
2843243,EC=2.5.1.141
2845250,EC=1.9.3.1
2847562,EC=1.4.5.1
2849407,EC=3.4.11.19
2855341,EC=3.5.4.44
2860710,EC=1.2.5.3
2861391,EC=1.2.5.3
2863788,EC=1.2.5.3
2865987,EC=1.11.1.5
2869860,EC=6.3.2.1
2872354,EC=3.4.16.4
2878557,"EC=4.1.2.20,4.1.2.52"
2885329,EC=2.1.1.77
2888982,EC=6.1.1.9
2903661,EC=3.6.4.12
2908586,EC=1.3.8.4
2911509,EC=2.5.1.18
2914729,"EC=2.7.1.49,2.7.4.7"
2923783,EC=4.3.1.7
2924556,EC=4.3.1.7
2928274,EC=2.8.3.16
2932609,EC=2.7.7.7
2936357,EC=3.1.4.52
2940387,"EC=3.1.1.61,3.5.1.44"
2941460,EC=2.7.13.3
2946421,EC=2.1.1.80
2948800,EC=6.2.1.48
2960069,EC=
2966599,EC=4.1.99.17
2968894,EC=2.1.1.45
2972565,EC=4.2.1.9
2977239,EC=2.5.1.75
2978188,EC=3.1.3.3
2979426,EC=3.4.21.107
2984529,EC=4.2.1.2
2989632,EC=1.1.1.37
3007095,EC=2.7.4.3
3009127,EC=2.7.7.6
3010864,EC=3.4.21.107
3015365,EC=5.4.99.24
3021090,EC=3.1.3.18
3024219,EC=3.6.4.13
3030739,EC=5.1.3.13
3031441,EC=1.2.1.38
3037044,"EC=3.1.3.11,3.1.3.37"
3038038,EC=1.1.1.3
3044114,EC=2.7.7.7
3058083,EC=2.4.99.17
3059168,EC=2.4.2.29
3060436,"EC=6.3.5.6,6.3.5.7"
3060720,"EC=6.3.5.6,6.3.5.7"
3062189,EC=4.2.99.21
3063881,"EC=6.3.5.6,6.3.5.7"
3068739,EC=3.1.5.1
3069980,EC=6.1.1.19
3089325,EC=1.3.1.28
3091522,EC=3.6.3.34
3101951,EC=2.7.8.26
3106443,"EC=2.5.1.32,2.5.1.99"
3108445,EC=2.1.1.74
3116402,EC=5.99.1.3
3121812,EC=6.3.2.6
3122750,EC=6.3.5.3
3123278,EC=6.3.5.3
3124035,EC=6.3.5.3
3127387,EC=4.3.2.2
3128941,EC=4.2.3.1
3131799,EC=2.3.1.128
3138010,EC=1.16.3.1
3145250,EC=3.5.1.16
3147421,"EC=2.7.1.156,2.7.7.62"
3148002,EC=2.5.1.17
3148627,EC=6.3.5.10
3150068,EC=6.3.1.10
3151298,EC=3.1.3.16
3164720,EC=2.7.13.3
3169793,EC=1.6.5.3
3170149,EC=1.6.5.3
3170785,EC=1.6.5.3
3171441,EC=1.6.5.3
3172724,"EC=1.6.5.3,1.6.99.3"
3173404,EC=1.6.5.3
3175319,EC=1.6.5.3
3177476,EC=1.6.5.3
3178530,"EC=1.6.5.3,1.6.99.3"
3179260,EC=1.6.5.3
3179889,EC=1.6.5.3
3180202,EC=1.6.5.3
3182133,EC=1.6.5.3
3183659,EC=1.6.5.3
3185096,EC=6.3.4.15
3187830,EC=5.1.99.1
3189060,EC=6.1.1.15
3207038,EC=3.1.6.1
3213896,EC=3.6.1.9
3216002,EC=3.1.4.55
3221784,EC=2.3.1.180
3222755,EC=2.3.1.15
3226036,EC=5.3.1.1
3226966,EC=5.2.1.8
3228867,"EC=2.6.1.85,4.1.3.27"
3230537,"EC=2.6.1.85,4.1.3.27"
3231364,"EC=2.4.2.18,4.1.3.27"
3232395,"EC=4.1.1.48,5.3.1.24"
3234291,EC=4.6.1.17
3234790,EC=2.10.1.1
3236173,EC=3.4.21.88
3239498,EC=6.1.1.17
3243191,EC=2.6.1.21
3248379,EC=2.7.13.3
3252335,EC=2.7.13.3
3254674,"EC=2.7.7.60,4.6.1.12"
3255873,EC=3.5.1.42
3257280,EC=2.8.1.8
3259116,EC=1.8.1.4
3261691,"EC=1.2.4.1,2.3.1.12"
3263070,EC=1.2.4.1
3264808,EC=1.2.4.1
3266466,EC=1.6.5.2
3273718,EC=3.1.26.3
3274434,EC=3.4.21.89
3275819,EC=2.7.8.7
3276223,EC=2.6.99.2
3277072,"EC=2.7.6.5,3.1.7.2"
3280242,EC=4.1.1.44
3281276,EC=1.6.5.5
3286559,"EC=4.1.3.24,4.1.3.25"
3297920,EC=3.1.3.5
3304378,"EC=2.5.1.47,2.5.1.49"
3310250,EC=6.1.1.10
3311851,EC=2.7.7.7
3312885,EC=2.7.4.9
3313535,EC=3.4.16.4
3318219,EC=2.7.7.4
3319127,"EC=2.7.1.25,2.7.7.4"
3325169,EC=3.6.3.14
3329488,EC=3.6.3.14
3334720,EC=2.7.2.1
3335907,"EC=2.3.1.19,2.3.1.8"
3341004,"EC=3.1.2.4,4.2.1.17"
3342338,EC=4.2.1.24
3343706,EC=4.3.1.19
3347227,EC=2.3.2.29
3348975,EC=1.1.1.108
3350191,EC=4.2.1.11
3354156,EC=1.7.1.13
3357459,EC=6.3.4.2
3362674,EC=3.6.1.1
3365336,EC=6.1.1.11
3368628,EC=3.6.3.30
3371254,"EC=3.2.1.21,3.2.1.52"
3375107,EC=2.1.1.77
3376019,EC=3.6.4.12
3380372,EC=2.6.1.16
3382339,"EC=2.3.1.157,2.7.7.23"
3384372,EC=3.2.1.58
3386926,"EC=2.4.1.12,3.2.1.58"
3389568,EC=2.7.7.77
3390371,EC=2.3.3.1
3391953,EC=2.4.1.182
3394017,EC=2.3.1.129
3394827,EC=4.2.1.59
3395303,EC=2.3.1.191
3400544,EC=1.1.1.267
3401757,EC=2.7.7.41
3402576,EC=2.5.1.31
3404297,EC=2.7.4.22
3408583,EC=2.7.7.7
3412227,EC=3.5.1.24
3413699,EC=2.7.4.16
3415223,EC=2.5.1.78
3415751,EC=2.5.1.9
3416364,"EC=1.1.1.193,3.5.4.26"
