locus_tag	EC
AAFOLC_03550	EC=2.7.7.6
AAFOLC_03555	EC=3.5.2.10
AAFOLC_03560	EC=3.6.1.13
AAFOLC_03565	EC=3.6.3.24
AAFOLC_03570	EC=3.4.23.36
AAFOLC_03575	EC=1.6.5.11
AAFOLC_03590	EC=1.9.3.1
AAFOLC_03595	EC=4.2.1.51
AAFOLC_03605	EC=3.6.1.22
AAFOLC_03620	EC=2.7.2.4
AAFOLC_03625	EC=2.7.3.9
AAFOLC_03635	EC=2.1.1.297
AAFOLC_03645	EC=2.7.1.33
AAFOLC_03650	EC=3.6.1.31
AAFOLC_03655	EC=4.3.2.10
AAFOLC_03660	EC=5.3.1.16
AAFOLC_03665	EC=3.5.1.2;EC=4.3.2.10
AAFOLC_03675	EC=4.2.1.19
AAFOLC_03680	EC=3.4.25.2
AAFOLC_03685	EC=3.4.25.2
AAFOLC_03700	EC=2.6.1.18
AAFOLC_03710	EC=3.4.11.9
AAFOLC_03725	EC=2.8.3.16;EC=5.1.99.4
AAFOLC_03745	EC=2.8.3.5;EC=2.8.3.6
AAFOLC_03750	EC=2.8.3.5
AAFOLC_03760	EC=1.3.99.3
AAFOLC_03765	EC=1.1.1.47
AAFOLC_03775	EC=3.1.3.48
AAFOLC_03780	EC=3.1.3.48
AAFOLC_03795	EC=7.3.2.2
AAFOLC_03810	EC=1.20.4.1
AAFOLC_03855	EC=2.7.13.3
AAFOLC_03880	EC=2.1.1.63
AAFOLC_03885	EC=2.3.1.51
AAFOLC_03900	EC=3.6.3.19;EC=3.6.3.25
AAFOLC_03905	EC=2.4.2.8
AAFOLC_03910	EC=4.1.1.31
AAFOLC_03950	EC=1.3.8.12
AAFOLC_03970	EC=3.1.1.61
AAFOLC_03975	EC=2.7.13.3
AAFOLC_04000	EC=2.6.1.1
AAFOLC_04005	EC=1.1.1.298
AAFOLC_04030	EC=3.6.1.31
AAFOLC_04045	EC=5.4.99.25
AAFOLC_04105	EC=4.2.1.1
AAFOLC_04110	EC=1.1.2.4;EC=1.1.3.15;EC=1.1.99.14
AAFOLC_04115	EC=1.1.99.14
AAFOLC_04120	EC=1.1.99.14
AAFOLC_04125	EC=2.5.1.3
AAFOLC_04130	EC=2.3.3.9
AAFOLC_04135	EC=5.1.3.1
AAFOLC_04140	EC=4.1.2.13
AAFOLC_04145	EC=2.2.1.1
AAFOLC_04150	EC=2.7.1.19
AAFOLC_04155	EC=3.1.3.11
AAFOLC_04160	EC=3.6.4.12
AAFOLC_04165	EC=4.1.1.39
AAFOLC_04170	EC=4.1.1.39
AAFOLC_04180	EC=3.1.4.53
AAFOLC_04185	EC=3.6.3.25
AAFOLC_04215	EC=3.1.1.61
AAFOLC_04220	EC=2.7.13.3
AAFOLC_04225	EC=1.1.1.157
AAFOLC_04230	EC=1.3.1.108
AAFOLC_04240	EC=3.4.21.105
AAFOLC_04245	EC=2.7.7.8
AAFOLC_04265	EC=2.1.1.198
AAFOLC_04275	EC=1.6.5.11
AAFOLC_04280	EC=2.5.1.17
AAFOLC_04285	EC=3.6.1.63
AAFOLC_04295	EC=2.7.2.8
AAFOLC_04300	EC=2.3.1.183
AAFOLC_04325	EC=2.7.1.2
AAFOLC_04335	EC=3.6.3.24
AAFOLC_04350	EC=2.7.13.3;EC=3.6.1.1
AAFOLC_04370	EC=2.1.1.144
AAFOLC_04395	EC=3.6.3.17;EC=3.6.3.41
AAFOLC_04495	EC=2.7.7.7
AAFOLC_04520	EC=3.1.26.12;EC=5.99.1.3
AAFOLC_04530	EC=3.6.4.12
AAFOLC_04535	EC=1.8.4.8
AAFOLC_04550	EC=2.8.1.7
AAFOLC_04555	EC=2.7.13.3
AAFOLC_04580	EC=3.6.1.27
AAFOLC_04630	EC=1.14.13.114
AAFOLC_04640	EC=2.7.11.1
AAFOLC_04655	EC=4.2.1.148
AAFOLC_04660	EC=1.1.1.100
AAFOLC_04670	EC=2.3.1.9
AAFOLC_04690	EC=3.1.1.15;EC=3.1.1.17
AAFOLC_04705	EC=6.2.1.3
AAFOLC_04715	EC=1.3.8.4;EC=1.3.99.3
AAFOLC_04720	EC=4.2.1.153
AAFOLC_04725	EC=4.1.3.6
AAFOLC_04785	EC=3.1.2.28
AAFOLC_04800	EC=2.7.7.59
AAFOLC_04810	EC=2.4.1.129
AAFOLC_04845	EC=3.5.1.4;EC=6.3.5.6
AAFOLC_04855	EC=1.1.1.100
AAFOLC_04870	EC=3.6.4.12
AAFOLC_04885	EC=3.5.2.6
AAFOLC_04890	EC=2.1.2.11
AAFOLC_04905	EC=1.1.1.205
AAFOLC_04925	EC=2.7.4.8
AAFOLC_04940	EC=2.3.1.179
AAFOLC_04950	EC=1.1.1.100
AAFOLC_04955	EC=2.3.1.39
AAFOLC_04960	EC=2.7.8.31
AAFOLC_04965	EC=3.2.1.14
AAFOLC_04995	EC=2.7.10.2
AAFOLC_05015	EC=1.3.5.1
AAFOLC_05020	EC=1.3.5.1
AAFOLC_05025	EC=2.7.1.107
AAFOLC_05030	EC=3.4.21.105
AAFOLC_05040	EC=3.1.1.3;EC=3.1.1.72;EC=3.1.1.73
AAFOLC_05045	EC=4.2.1.148
AAFOLC_05065	EC=4.2.1.103
AAFOLC_05070	EC=4.1.3.34;EC=4.1.3.6
AAFOLC_05080	EC=3.6.3.14
AAFOLC_05090	EC=3.6.3.14
AAFOLC_05095	EC=3.6.3.14
AAFOLC_05115	EC=3.4.21.53
AAFOLC_05125	EC=2.1.1.192
AAFOLC_05130	EC=4.4.1.5
AAFOLC_05140	EC=5.4.99.5
AAFOLC_05145	EC=2.6.1.9
AAFOLC_05150	EC=1.3.1.12
AAFOLC_05155	EC=4.2.1.12
AAFOLC_05165	EC=2.7.13.3
AAFOLC_05185	EC=7.3.2.1
AAFOLC_05205	EC=2.6.1.11
AAFOLC_05210	EC=2.1.3.3
AAFOLC_05220	EC=3.1.4.52
AAFOLC_05230	EC=1.2.7.3;EC=1.6.5.11
AAFOLC_05250	EC=2.8.1.7
AAFOLC_05260	EC=1.18.6.1
AAFOLC_05265	EC=1.18.6.1
AAFOLC_05270	EC=1.18.6.1
AAFOLC_05280	EC=1.18.6.1
AAFOLC_05300	EC=1.2.7.3
AAFOLC_05320	EC=2.8.1.2
AAFOLC_05355	EC=2.8.1.7
AAFOLC_05370	EC=4.-.-.-
AAFOLC_05375	EC=1.97.1.12
AAFOLC_05430	EC=2.5.1.18
AAFOLC_05440	EC=1.6.5.11
AAFOLC_05455	EC=2.3.3.9
AAFOLC_05480	EC=3.1.1.45
AAFOLC_05505	EC=1.18.6.1
AAFOLC_05510	EC=1.5.1.20
AAFOLC_05515	EC=3.5.1.68
AAFOLC_05530	EC=3.1.3.15
AAFOLC_05535	EC=3.1.1.5
AAFOLC_05555	EC=3.1.4.3
AAFOLC_05565	EC=3.6.3.-
AAFOLC_05585	EC=2.8.1.1
AAFOLC_05595	EC=4.2.1.2
AAFOLC_05600	EC=2.7.1.69
AAFOLC_05605	EC=1.18.6.1
AAFOLC_05610	EC=1.3.1.108
AAFOLC_05625	EC=1.6.5.11
AAFOLC_05645	EC=4.99.1.1
AAFOLC_05650	EC=2.1.1.63
AAFOLC_05655	EC=1.13.11.79
AAFOLC_05690	EC=1.5.1.20
AAFOLC_05695	EC=2.1.1.13
AAFOLC_05700	EC=2.6.1.1
AAFOLC_05705	EC=5.4.99.5
AAFOLC_05710	EC=2.7.1.45
AAFOLC_05715	EC=3.6.1.7
AAFOLC_05720	EC=1.12.99.6
AAFOLC_05725	EC=1.12.99.6
AAFOLC_05730	EC=2.7.13.3
AAFOLC_05740	EC=1.14.11.33
AAFOLC_05750	EC=3.5.1.19
AAFOLC_05755	EC=1.3.1.74
AAFOLC_05765	EC=2.1.1.182;EC=2.1.1.320
AAFOLC_05775	EC=4.1.1.23
AAFOLC_05785	EC=1.17.1.8
AAFOLC_05790	EC=5.4.2.11
AAFOLC_05800	EC=2.7.7.65
AAFOLC_05805	EC=2.7.4.23
AAFOLC_05810	EC=2.7.8.37
AAFOLC_05815	EC=3.6.3.24;EC=3.6.3.25
AAFOLC_05820	EC=4.7.1.1
AAFOLC_05825	EC=2.7.8.37
AAFOLC_05835	EC=2.7.8.37
AAFOLC_05850	EC=2.3.2.2
AAFOLC_05865	EC=3.3.1.1
AAFOLC_05875	EC=2.3.2.3
AAFOLC_05885	EC=3.6.3.25
AAFOLC_05905	EC=1.11.1.15
AAFOLC_05915	EC=1.14.14.10
AAFOLC_05920	EC=1.5.1.36;EC=1.5.1.42
AAFOLC_05965	EC=1.8.2.3
AAFOLC_05980	EC=3.11.1.2
AAFOLC_05985	EC=1.12.98.3;EC=1.6.5.11
AAFOLC_06005	EC=2.7.13.3
AAFOLC_06025	EC=4.2.99.18
AAFOLC_06030	EC=1.5.1.3
AAFOLC_06035	EC=1.5.3.1
AAFOLC_06060	EC=2.7.1.71
AAFOLC_06065	EC=4.2.3.4
AAFOLC_06070	EC=1.4.1.13
AAFOLC_06075	EC=1.1.2.4
AAFOLC_06090	EC=2.1.1.-
AAFOLC_06095	EC=2.7.7.65
AAFOLC_06100	EC=3.6.4.12
AAFOLC_06120	EC=3.5.2.3
AAFOLC_06130	EC=3.2.2.20
AAFOLC_06150	EC=6.1.1.3
AAFOLC_06155	EC=3.1.4.16
AAFOLC_06160	EC=6.3.3.2
AAFOLC_06175	EC=5.2.1.8
AAFOLC_06190	EC=4.2.1.135
AAFOLC_06200	EC=3.1.1.1
AAFOLC_06210	EC=5.99.1.4
AAFOLC_06225	EC=2.7.7.7
AAFOLC_06230	EC=3.4.11.1;EC=3.4.11.10
AAFOLC_06260	EC=3.5.1.104;EC=3.5.1.41
AAFOLC_06285	EC=6.5.1.1
AAFOLC_06295	EC=2.3.1.41
AAFOLC_06300	EC=3.1.3.48
AAFOLC_06355	EC=2.8.1.1
AAFOLC_06360	EC=6.3.1.11;EC=6.3.1.2
AAFOLC_06365	EC=3.2.1.4
AAFOLC_06380	EC=3.1.26.4
AAFOLC_06385	EC=2.7.1.39
AAFOLC_06390	EC=1.17.7.4
AAFOLC_06430	EC=1.6.5.11
AAFOLC_06435	EC=2.7.7.72
AAFOLC_06450	EC=1.3.3.3
AAFOLC_06455	EC=2.1.1.207
AAFOLC_06460	EC=7.1.1.8
AAFOLC_06470	EC=1.10.2.2
AAFOLC_06475	EC=2.4.2.7
AAFOLC_06480	EC=1.1.1.370
AAFOLC_06485	EC=2.6.1.98
AAFOLC_06490	EC=3.1.31.1
AAFOLC_06495	EC=2.7.13.3
AAFOLC_06500	EC=2.4.2.21
AAFOLC_06540	EC=6.3.4.19
AAFOLC_06545	EC=3.4.24.-
AAFOLC_06555	EC=6.1.1.2
AAFOLC_06560	EC=2.1.1.222;EC=2.1.1.64
AAFOLC_06590	EC=3.6.3.4
AAFOLC_06600	EC=2.1.1.171
AAFOLC_06605	EC=5.4.99.22
AAFOLC_06610	EC=3.5.4.33
AAFOLC_06620	EC=3.2.1.17
AAFOLC_06625	EC=3.3.2.10;EC=3.8.1.3
AAFOLC_06630	EC=2.7.1.35
AAFOLC_06635	EC=5.3.3.17
AAFOLC_06640	EC=1.3.1.42;EC=3.5.1.28
AAFOLC_06660	EC=1.11.1.28
AAFOLC_06665	EC=1.11.1.15
AAFOLC_06685	EC=2.3.3.14
AAFOLC_06690	EC=2.3.1.30
AAFOLC_06700	EC=1.1.1.37
AAFOLC_06705	EC=6.2.1.5
AAFOLC_06710	EC=6.2.1.5
AAFOLC_06715	EC=1.2.4.2
AAFOLC_06725	EC=2.3.1.61
AAFOLC_06730	EC=1.8.1.4
AAFOLC_06735	EC=4.4.1.5
AAFOLC_06755	EC=3.6.3.28
AAFOLC_06765	EC=1.11.1.27
AAFOLC_06790	EC=2.7.13.3
AAFOLC_06795	EC=1.6.5.5;EC=2.3.1.41
AAFOLC_06835	EC=2.7.13.3
AAFOLC_06855	EC=3.6.4.12
AAFOLC_06860	EC=1.8.4.2
AAFOLC_06865	EC=3.5.4.26;EC=4.2.1.103
AAFOLC_06870	EC=5.4.99.12
AAFOLC_06880	EC=2.1.2.9
AAFOLC_06885	EC=3.5.1.88
AAFOLC_06890	EC=2.7.13.3
AAFOLC_06895	EC=3.2.2.23;EC=4.2.99.18
AAFOLC_06905	EC=1.1.1.49;EC=3.6.4.12
AAFOLC_06930	EC=2.8.3.16;EC=2.8.3.19
AAFOLC_06935	EC=2.3.3.16
AAFOLC_06960	EC=3.6.4.13
AAFOLC_06975	EC=1.1.1.95
AAFOLC_07000	EC=4.1.1.112
AAFOLC_07005	EC=4.1.3.3;EC=4.2.1.41;EC=4.3.3.7
AAFOLC_07010	EC=4.2.1.9
AAFOLC_07030	EC=2.2.1.6
AAFOLC_07035	EC=1.1.2.4;EC=1.1.3.15
AAFOLC_07040	EC=2.5.1.18
AAFOLC_07050	EC=1.1.1.157
AAFOLC_07055	EC=2.3.1.174
AAFOLC_07065	EC=5.3.3.4
AAFOLC_07070	EC=2.8.3.6
AAFOLC_07075	EC=2.8.3.6
AAFOLC_07085	EC=1.1.1.100;EC=1.1.1.269
AAFOLC_07095	EC=3.1.1.24
AAFOLC_07100	EC=2.7.1.69
AAFOLC_07110	EC=6.2.1.3;EC=6.2.1.41
AAFOLC_07120	EC=6.2.1.3
AAFOLC_07125	EC=2.8.3.16
AAFOLC_07135	EC=2.8.3.16;EC=2.8.3.19;EC=5.1.99.4
AAFOLC_07145	EC=2.2.1.6
AAFOLC_07170	EC=2.7.13.3
AAFOLC_07175	EC=2.4.1.129
AAFOLC_07215	EC=4.3.2.3
AAFOLC_07220	EC=1.1.1.47
AAFOLC_07235	EC=1.1.2.3;EC=1.1.99.31
AAFOLC_07255	EC=2.7.13.3
AAFOLC_07285	EC=2.7.7.65
AAFOLC_07290	EC=3.1.4.52
AAFOLC_07310	EC=3.6.3.36
AAFOLC_07340	EC=7.6.2.11
AAFOLC_07365	EC=2.4.2.53
